Filename:	P:\+Courses\MatSci\Spring2016\Emily_Adam\DMA\Nomex 1 Temperature Scan.dm8d 
Operator ID:	Adam 
Sample ID:	Nomex #1 
Comment: 	Temperature Scan at .010 mm 
Serial Number:	3066274 
Data Collected:	2/22/2016 6:21:24 PM 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\Calibrations\2_16_16 Tension.dm8c 
Date/Time:	 
Initial Conditions 
Temperature:	 
Measuring System:	Tension - Rectangle 
Clamp Mass	9.343 g 
Length:	5.650 mm 
Width:	5.910 mm 
Thickness:	0.550 mm 
End Condition:	Go To Load 
Total Points in Run:	1288 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 27.00°C to 400.00°C at 2.00°C/min 
 
1) DMA8000 Temperature Scan 
	Time     	Sample     	Program     	Frequency     	Raw Dynamic	Raw Static	In-Phase     	Out-Of-Phase	Zero Displacement	Min Displacement	Max Displacement	Spring     	C*     	Measured     	Corrected     	Corrected     	Stiffness*	Total     	Stiffness     	Inertia     	Sample     	Ratio of     	Total     	Sample     	Total Applied	Static Force	Static     	Static     	Static     	Static Stress	Static     	Static Strain	Static     	Dynamic Force	Displacement	Dynamic     	Dynamic     	Storage     	Loss Modulus	Tan Delta     	Loss Viscosity	Storage     	Complex     	Shear Storage	Shear Loss	Complex     	Shear Complex 
	          	Temperature	Temperature	          	Force     	Force     	Angle     	Angle     	               	               	               	Stiffness     	          	Tan Delta     	Total Tan Delta	Total Delta	          	Stiffness'	Less Spring	          	Stiffness'	Sample to Total	Stiffness''	Stiffness''	Static Force	          	Force Corrected	Displacement	Displacement Co	          	Stress Correcte	          	Strain Correcte	          	Amplitude     	Stress     	Strain     	Modulus     	          	          	               	Viscosity     	Viscosity     	Modulus     	Modulus     	Modulus     	Modulus      
	0.000000	26.400000	27.000000	1.000001	313.000000	2281.000000	939956.875000	228894.875000	43250612.375000	40538.625000	43540.875000	0.000044	967425.341130	0.243516	0.230069	0.226134	16958.982030	16569.517981	14249.819410	1.863819	14251.683228	0.860018	3822.979781	3821.605306	1.220025	1.375355	0.000000	0.066961	0.000000	423121.175304	0.000000	0.011852	0.000000	0.701738	0.046780	215886.027046	0.008280	24772192.043828	6642691.887321	0.268151	1057216.411815	3942613.691800	4081900.202624	9174885.942158	2460256.254563	25647355.695396	9499020.627924 
	0.203812	26.400000	27.407625	1.000001	332.000000	2296.000000	961309.000000	230436.500000	43518036.000000	40750.125000	43829.125000	0.000044	988542.348113	0.239711	0.226286	0.222538	17604.176196	17215.808593	14898.592890	1.863819	14900.456708	0.865416	3907.203866	3905.830862	1.298232	1.433795	0.058440	0.058503	0.008459	441099.856391	17978.681087	0.010354	0.001497	0.749007	0.047835	230428.388397	0.008466	25899886.295073	6789092.253772	0.262128	1080516.735348	4122091.664006	4261356.134124	9592550.479657	2514478.612508	26774911.460693	9916633.874331 
	0.333913	26.400000	27.667825	1.000001	332.000000	2296.000000	964720.250000	228781.500000	43558861.250000	40794.875000	43866.125000	0.000044	991476.744812	0.237148	0.223738	0.220113	17552.074484	17174.170807	14857.317278	1.863819	14859.181096	0.865111	3853.824049	3852.451260	1.298232	1.430782	0.055427	0.057211	0.009750	440172.921446	17051.746142	0.010126	0.001726	0.748743	0.048004	230347.133270	0.008496	25828141.268517	6696308.142669	0.259264	1065749.697124	4110673.097433	4246581.652444	9565978.247599	2480114.126914	26682080.580945	9882252.067017 
	0.463913	26.400000	27.927826	1.000001	332.000000	2296.000000	967839.125000	227541.625000	43585282.125000	40814.250000	43893.875000	0.000044	994227.218994	0.235103	0.221705	0.218176	17503.517648	17133.987712	14817.366187	1.863819	14819.230006	0.864808	3809.828946	3808.456294	1.298232	1.428833	0.053477	0.056376	0.010586	439573.231718	16452.056414	0.009978	0.001874	0.748481	0.048158	230266.516505	0.008524	25758698.518276	6619836.351368	0.256994	1053578.843172	4099620.949225	4232838.327423	9540258.710472	2451791.241247	26595728.654698	9850269.872110 
	0.597294	26.400000	28.194588	1.000001	332.000000	2296.000000	970247.375000	226925.375000	43605717.875000	40826.625000	43915.500000	0.000044	996431.179015	0.233884	0.220493	0.217021	17464.802427	17100.393597	14783.950236	1.863819	14785.814055	0.864553	3781.551359	3780.178813	1.298232	1.427325	0.051970	0.055729	0.011232	439109.493650	15988.318346	0.009864	0.001988	0.748260	0.048277	230198.582081	0.008545	25700615.108578	6570684.600223	0.255663	1045756.105213	4090376.694783	4221941.181117	9518746.336510	2433586.888972	26527259.810898	9824911.041073 
	0.726773	26.400000	28.453546	1.000001	332.000000	2296.000000	972531.125000	226012.875000	43621654.375000	40844.125000	43934.375000	0.000044	998448.100183	0.232397	0.219014	0.215610	17429.522546	17071.095109	14754.789909	1.863819	14756.653727	0.864329	3749.725801	3748.353337	1.298232	1.426150	0.050795	0.055225	0.011736	438747.917164	15626.741860	0.009774	0.002077	0.748066	0.048390	230138.847484	0.008565	25649928.798219	6515365.744374	0.254011	1036951.842833	4082309.724333	4211949.882149	9499973.628970	2413098.423842	26464482.578291	9801660.214182 
	0.855733	26.400000	28.711466	1.000001	332.000000	2296.000000	974612.250000	226163.500000	43633886.500000	40841.625000	43946.500000	0.000044	1000509.353571	0.232055	0.218674	0.215286	17393.614174	17037.051173	14720.851556	1.863819	14722.715374	0.864064	3736.419636	3735.047234	1.298232	1.425248	0.049893	0.054838	0.012123	438470.424541	15349.249236	0.009706	0.002146	0.747837	0.048494	230068.320932	0.008583	25590937.352655	6492237.155447	0.253693	1033270.816494	4072920.951608	4201944.033215	9478124.945428	2404532.279795	26401613.925480	9778375.527955 
	0.983393	26.400000	28.966787	1.000001	332.000000	2296.000000	976548.750000	225539.750000	43645165.750000	40861.750000	43961.875000	0.000044	1002255.276841	0.230956	0.217582	0.214243	17363.314592	17011.196846	14695.094231	1.863819	14696.958049	0.863863	3712.087259	3710.714914	1.298232	1.424416	0.049061	0.054481	0.012480	438214.576663	15093.401359	0.009643	0.002209	0.747663	0.048590	230014.834887	0.008600	25546166.121463	6449942.859673	0.252482	1026539.475589	4065795.394500	4193384.728937	9461543.007949	2388867.725805	26347834.188002	9758457.106667 
	1.113913	26.400000	29.227827	1.000001	332.000000	2296.000000	978336.875000	225117.375000	43654830.375000	40865.625000	43971.500000	0.000044	1003902.820751	0.230102	0.216733	0.213432	17334.818982	16986.221126	14670.201356	1.863819	14672.065174	0.863668	3692.154525	3690.782230	1.298232	1.423704	0.048349	0.054176	0.012786	437995.374886	14874.199582	0.009589	0.002263	0.747494	0.048678	229962.841628	0.008616	25502897.472765	6415295.984478	0.251552	1021025.258508	4058908.980634	4185359.565388	9445517.582506	2376035.549807	26297410.558358	9739781.688281 
