Time,Sample,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring     ,C*     ,Measured     ,Corrected     ,Corrected     ,Stiffness*,Total     ,Stiffness     ,Inertia     ,Sample     ,Ratio of     ,Total     ,Sample     ,Total Applied,Static Force,Static     ,Static     ,Static     ,Static Stress,Static     ,Static Strain,Static     ,Dynamic Force,Displacement,Dynamic     ,Dynamic     ,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage     ,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus
          ,,,          ,     ,,,,               ,               ,               ,Stiffness     ,          ,Tan Delta     ,Total Tan Delta,Total Delta,          ,Stiffness',Less Spring,          ,Stiffness',Sample to Total,Stiffness'',Stiffness'',Static Force,          ,Force Corrected,Displacement,Displacement Co,          ,Stress Correcte,          ,Strain Correcte,          ,Amplitude     ,Stress     ,Strain     ,,          ,          ,               ,Viscosity     ,Viscosity     ,Modulus     ,Modulus     ,,
0,26.4,27,1.000001,313,2281,939956.875,228894.875,43250612.375,40538.625,43540.875,0.000044,967425.34113,0.243516,0.230069,0.226134,16958.98203,16569.517981,14249.81941,1.863819,14251.683228,0.860018,3822.979781,3821.605306,1.220025,1.375355,0,0.066961,0,423121.175304,0,0.011852,0,0.701738,0.04678,215886.027046,0.00828,24772192.043828,6642691.887321,0.268151,1057216.411815,3942613.6918,4081900.202624,9174885.942158,2460256.254563,25647355.695396,9499020.627924
0.203812,26.4,27.407625,1.000001,332,2296,961309,230436.5,43518036,40750.125,43829.125,0.000044,988542.348113,0.239711,0.226286,0.222538,17604.176196,17215.808593,14898.59289,1.863819,14900.456708,0.865416,3907.203866,3905.830862,1.298232,1.433795,0.05844,0.058503,0.008459,441099.856391,17978.681087,0.010354,0.001497,0.749007,0.047835,230428.388397,0.008466,25899886.295073,6789092.253772,0.262128,1080516.735348,4122091.664006,4261356.134124,9592550.479657,2514478.612508,26774911.460693,9916633.874331
0.333913,26.4,27.667825,1.000001,332,2296,964720.25,228781.5,43558861.25,40794.875,43866.125,0.000044,991476.744812,0.237148,0.223738,0.220113,17552.074484,17174.170807,14857.317278,1.863819,14859.181096,0.865111,3853.824049,3852.45126,1.298232,1.430782,0.055427,0.057211,0.00975,440172.921446,17051.746142,0.010126,0.001726,0.748743,0.048004,230347.13327,0.008496,25828141.268517,6696308.142669,0.259264,1065749.697124,4110673.097433,4246581.652444,9565978.247599,2480114.126914,26682080.580945,9882252.067017
0.463913,26.4,27.927826,1.000001,332,2296,967839.125,227541.625,43585282.125,40814.25,43893.875,0.000044,994227.218994,0.235103,0.221705,0.218176,17503.517648,17133.987712,14817.366187,1.863819,14819.230006,0.864808,3809.828946,3808.456294,1.298232,1.428833,0.053477,0.056376,0.010586,439573.231718,16452.056414,0.009978,0.001874,0.748481,0.048158,230266.516505,0.008524,25758698.518276,6619836.351368,0.256994,1053578.843172,4099620.949225,4232838.327423,9540258.710472,2451791.241247,26595728.654698,9850269.87211
0.597294,26.4,28.194588,1.000001,332,2296,970247.375,226925.375,43605717.875,40826.625,43915.5,0.000044,996431.179015,0.233884,0.220493,0.217021,17464.802427,17100.393597,14783.950236,1.863819,14785.814055,0.864553,3781.551359,3780.178813,1.298232,1.427325,0.05197,0.055729,0.011232,439109.49365,15988.318346,0.009864,0.001988,0.74826,0.048277,230198.582081,0.008545,25700615.108578,6570684.600223,0.255663,1045756.105213,4090376.694783,4221941.181117,9518746.33651,2433586.888972,26527259.810898,9824911.041073
0.726773,26.4,28.453546,1.000001,332,2296,972531.125,226012.875,43621654.375,40844.125,43934.375,0.000044,998448.100183,0.232397,0.219014,0.21561,17429.522546,17071.095109,14754.789909,1.863819,14756.653727,0.864329,3749.725801,3748.353337,1.298232,1.42615,0.050795,0.055225,0.011736,438747.917164,15626.74186,0.009774,0.002077,0.748066,0.04839,230138.847484,0.008565,25649928.798219,6515365.744374,0.254011,1036951.842833,4082309.724333,4211949.882149,9499973.62897,2413098.423842,26464482.578291,9801660.214182
0.855733,26.4,28.711466,1.000001,332,2296,974612.25,226163.5,43633886.5,40841.625,43946.5,0.000044,1000509.353571,0.232055,0.218674,0.215286,17393.614174,17037.051173,14720.851556,1.863819,14722.715374,0.864064,3736.419636,3735.047234,1.298232,1.425248,0.049893,0.054838,0.012123,438470.424541,15349.249236,0.009706,0.002146,0.747837,0.048494,230068.320932,0.008583,25590937.352655,6492237.155447,0.253693,1033270.816494,4072920.951608,4201944.033215,9478124.945428,2404532.279795,26401613.92548,9778375.527955
0.983393,26.4,28.966787,1.000001,332,2296,976548.75,225539.75,43645165.75,40861.75,43961.875,0.000044,1002255.276841,0.230956,0.217582,0.214243,17363.314592,17011.196846,14695.094231,1.863819,14696.958049,0.863863,3712.087259,3710.714914,1.298232,1.424416,0.049061,0.054481,0.01248,438214.576663,15093.401359,0.009643,0.002209,0.747663,0.04859,230014.834887,0.0086,25546166.121463,6449942.859673,0.252482,1026539.475589,4065795.3945,4193384.728937,9461543.007949,2388867.725805,26347834.188002,9758457.106667
1.113913,26.4,29.227827,1.000001,332,2296,978336.875,225117.375,43654830.375,40865.625,43971.5,0.000044,1003902.820751,0.230102,0.216733,0.213432,17334.818982,16986.221126,14670.201356,1.863819,14672.065174,0.863668,3692.154525,3690.78223,1.298232,1.423704,0.048349,0.054176,0.012786,437995.374886,14874.199582,0.009589,0.002263,0.747494,0.048678,229962.841628,0.008616,25502897.472765,6415295.984478,0.251552,1021025.258508,4058908.980634,4185359.565388,9445517.582506,2376035.549807,26297410.558358,9739781.688281
1.242354,26.4,29.484707,1.000001,332,2296,979720.125,224564.625,43663296.375,40876,43982.875,0.000044,1005127.252706,0.229213,0.215849,0.212587,17313.701948,16968.599629,14652.652222,1.863819,14654.516041,0.863531,3673.264992,3671.89274,1.298232,1.42308,0.047724,0.053908,0.013053,437803.375148,14682.199844,0.009541,0.00231,0.747375,0.048747,229926.284257,0.008628,25472393.672277,6382462.38376,0.250564,1015799.632793,4054054.153849,4179378.419852,9434219.878621,2363874.956948,26259829.882837,9725862.919569
1.370795,26.4,29.74159,1.000001,332,2296,981316.75,224927.75,43670380.25,40878.75,43988.25,0.000044,1006764.648044,0.22921,0.215846,0.212585,17285.543059,16940.939463,14625.052459,1.863819,14626.916278,0.863311,3667.211057,3665.83884,1.298232,1.422558,0.047202,0.053684,0.013278,437642.732117,14521.556813,0.009502,0.00235,0.747186,0.048826,229867.911563,0.008642,25424419.925912,6371939.531342,0.250623,1014124.870142,4046418.901025,4171565.074983,9416451.824412,2359977.604201,26210737.150263,9707680.426023
1.501054,26.4,30.002108,1.000001,332,2296,982646.875,224956.625,43676374.625,40882.375,43996.625,0.000044,1008067.638643,0.228929,0.215567,0.212318,17263.200411,16919.96683,14604.130833,1.863819,14605.994652,0.863145,3657.91755,3656.545364,1.298232,1.422116,0.04676,0.053494,0.013467,437506.804222,14385.628918,0.009468,0.002384,0.747042,0.048893,229823.606674,0.008654,25388054.078609,6355785.665133,0.250346,1011553.904522,4040631.101252,4165326.037438,9402982.992077,2353994.69079,26171536.090178,9693161.514881
1.630014,26.5375,30.260028,1.000001,332,2296,983231.625,224819.625,43681263.125,40876,44000.25,0.000044,1008607.104965,0.228654,0.215293,0.212056,17253.966969,16911.854933,14596.060461,1.863819,14597.92428,0.863082,3651.511524,3650.139362,1.298232,1.421756,0.0464,0.05334,0.013622,437395.958625,14274.78332,0.009441,0.002411,0.746987,0.048922,229806.78388,0.008659,25374026.205793,6344650.790285,0.250045,1009781.735553,4038398.497721,4162730.063294,9397787.483627,2349870.663068,26155225.090656,9687120.403947
1.758975,26.75,30.517949,1.000001,332,2296,983933,224245.75,43685934.75,40887.375,44005.75,0.000044,1009163.170593,0.227908,0.214551,0.211347,17244.459747,16905.110204,14589.355356,1.863819,14591.219174,0.86303,3637.467408,3636.095269,1.298232,1.421411,0.046056,0.053192,0.013769,437290.03529,14168.859986,0.009414,0.002437,0.746942,0.048956,229792.864349,0.008665,25362371.430455,6320239.430984,0.249197,1005896.55013,4036543.584085,4159989.420152,9393470.900169,2340829.418883,26138005.108297,9680742.632703
1.888195,27.0125,30.776391,1.000001,332,2296,984523.5,224131.5,43689155.75,40892.125,44009.5,0.000044,1009713.549154,0.227655,0.214299,0.211106,17235.06007,16896.749114,14581.021551,1.863819,14582.88537,0.862963,3631.403328,3630.031206,1.298232,1.421174,0.045818,0.05309,0.013871,437217.005744,14095.83044,0.009396,0.002455,0.746884,0.048985,229775.249584,0.00867,25347885.660772,6309698.911996,0.248924,1004218.975759,4034238.104062,4157346.85004,9388105.800286,2336925.522961,26121401.33744,9674593.087941
2.018717,27.35,31.037434,1.000001,332,2296,985377,224042.75,43691921.75,40894.875,44013.125,0.000044,1010526.093654,0.227368,0.214014,0.210833,17221.201692,16884.122894,14568.41874,1.863819,14570.282559,0.862862,3623.843983,3622.471875,1.298232,1.42097,0.045615,0.053003,0.013959,437154.294114,14033.11881,0.009381,0.002471,0.746797,0.049028,229748.335573,0.008677,25325979.528221,6296559.327585,0.248621,1002127.747607,4030751.637544,4153458.65347,9379992.41786,2332059.010217,26096971.058528,9665544.836492
