Time,Sample     ,Program Temperature,Frequency     ,Raw Dynamic,Raw Static,In-Phase     ,Out-Of-Phase,Zero Displacement,Min Displacement,Max Displacement,Spring     ,C*     ,Measured     ,Corrected     ,Corrected     ,Stiffness*,Total     ,Stiffness     ,Inertia     ,Sample     ,Ratio of     ,Total     ,Sample     ,Total Applied,Static Force,Static     ,Static     ,Static     ,Static Stress,Static     ,Static Strain,Static     ,Dynamic Force,Displacement,Dynamic     ,Dynamic     ,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage     ,Complex     ,Shear Storage Modulus,Shear Loss Modulus,Complex     ,Shear Complex 
          ,Temperature,Temperature,          ,Force     ,Force     ,Angle     ,Angle     ,               ,               ,               ,Stiffness     ,          ,Tan Delta     ,Total Tan Delta,Total Delta,          ,Stiffness',Less Spring,          ,Stiffness',Sample to Total,Stiffness'',Stiffness'',Static Force,          ,Force Corrected,Displacement,Displacement Co,          ,Stress Correcte,          ,Strain Correcte,          ,Amplitude     ,Stress     ,Strain     ,Modulus     ,          ,          ,               ,Viscosity     ,Viscosity     ,Modulus     ,Modulus     ,Modulus     ,Modulus      
0,250.325,250,1.000001,32,2071,623754.75,30306,42157889.25,40197.375,42159.125,0.000044,624490.545792,0.048586,0.03583,0.035815,2685.944361,2685.396306,353.571997,1.863819,355.435816,0.132267,96.25993,94.87827,0.125131,0.361869,0,0.101525,0,111327.150162,0,0.017969,0,0.011034,0.031036,3394.487526,0.005493,617816.445978,164916.851169,0.266935,26247.31127,98328.463409,101771.351889,228820.905918,61080.315248,639448.769426,236832.877565
0.16718,250.6125,250.33436,1.000001,31,2069,599614,28882,42024309.25,40103.25,41985.125,0.000045,600309.186103,0.048168,0.035412,0.035397,2706.821432,2706.318647,372.795356,1.863819,374.659175,0.138343,95.877679,94.495012,0.114703,0.361473,0.000395,0.10575,0.004225,111205.493761,121.656401,0.018717,0.000748,0.01118,0.029835,3439.48091,0.005281,651230.375928,164250.674822,0.252216,26141.286096,103646.451316,106892.252802,241196.435529,60833.583267,671624.364292,248749.764553
0.299519,250.85,250.599039,1.000001,31,2069,595310.875,29494.625,42021349.625,40101.75,41976.625,0.000045,596041.081468,0.049545,0.036787,0.036771,2726.204319,2725.571168,392.009704,1.863819,393.873522,0.144412,100.311477,98.928788,0.114703,0.361696,0.000173,0.105844,0.004319,111273.942434,53.207727,0.018733,0.000764,0.01167,0.029621,3590.350374,0.005243,684628.641593,171957.437263,0.251169,27367.854462,108961.946176,112346.362524,253566.163553,63687.939727,705893.573508,261442.064262
0.43368,251.1,250.867359,1.000001,31,2069,595313.375,28585.875,42017576.875,40100.875,41970.5,0.000045,595999.300925,0.048018,0.035262,0.035248,2726.395431,2725.912084,392.301925,1.863819,394.165743,0.144501,96.164974,94.782256,0.114703,0.36198,0.000111,0.105963,0.004438,111361.200916,34.050754,0.018755,0.000786,0.011678,0.029621,3592.565061,0.005243,685136.578909,164749.960816,0.240463,26220.749867,109042.786847,112151.045857,253754.288485,61018.504006,704666.361726,260987.54138
0.56368,251.4125,251.12736,1.000001,31,2069,593799.25,29157.25,42014682,40101.375,41966.75,0.000045,594514.671415,0.049103,0.036346,0.03633,2733.20382,2732.616279,398.96873,1.863819,400.832549,0.146585,99.36374,97.981,0.114703,0.362197,0.000328,0.106055,0.00453,111428.158615,101.008454,0.018771,0.000802,0.011846,0.029546,3644.37171,0.005229,696724.781156,170309.998782,0.244444,27105.656692,110887.105055,114151.945635,258046.215243,63077.777327,717238.395767,265643.850284
0.69524,251.625,251.39048,1.000001,31,2069,598013.75,27902.5,42011336.75,40091.375,41964.5,0.000045,598664.342261,0.046659,0.033904,0.033891,2714.258485,2713.899409,380.208627,1.863819,382.072445,0.140687,92.053473,90.670707,0.114703,0.362449,0.00058,0.10616,0.004636,111505.536888,178.386726,0.018789,0.00082,0.011369,0.029755,3497.74599,0.005266,664116.079143,157603.289646,0.237313,25083.322725,105697.273053,108632.806324,245968.918201,58371.588758,682560.593269,252800.219729
0.82628,251.9125,251.652561,1.000001,31,2069,597220.75,27961,42009157.75,40079.125,41963,0.000045,597874.93822,0.046819,0.034064,0.034051,2717.842256,2717.469537,383.750578,1.863819,385.614396,0.141805,92.608914,91.226131,0.114703,0.362613,0.000744,0.106229,0.004704,111555.940908,228.790746,0.018802,0.000833,0.01146,0.029715,3525.53672,0.005259,670272.67773,158568.725354,0.236573,25236.976468,106677.125374,109621.686082,248249.1399,58729.157538,688773.912958,255101.449244
0.95888,252.2,251.917761,1.000001,31,2069,592593.875,28804.375,42006141.375,40097.125,41955,0.000045,593293.513117,0.048607,0.035851,0.035835,2738.829491,2738.292188,404.534203,1.863819,406.398021,0.148312,98.213991,96.831186,0.114703,0.362839,0.00097,0.106325,0.0048,111625.717497,298.567335,0.018819,0.00085,0.011986,0.029486,3687.319314,0.005219,706398.652191,168311.397817,0.238267,26787.569721,112426.748229,115573.991923,261629.130441,62337.554747,726173.383189,268953.104885
1.088101,252.45,252.176201,1.000001,31,2069,593672.875,28868.125,42003923.375,40074.5,41956.375,0.000045,594374.335879,0.048626,0.03587,0.035854,2733.849146,2733.308738,399.522041,1.863819,401.38586,0.14675,98.087177,96.704354,0.114703,0.363006,0.001137,0.106395,0.00487,111677.027558,349.877396,0.018831,0.000862,0.011859,0.029539,3648.478503,0.005228,697686.543011,168090.939797,0.240926,26752.482765,111040.174087,114217.404958,258402.423337,62255.903629,717649.689153,265796.181168
