Filename:	P:\+Courses\MatSci\Spring2016\Emily_Adam\DMA\Nomex Feb26_30_DCnone.dm8d 
Operator ID:	EmilyAdam 
Sample ID:	outerlayer_Feb26_30_DCnone 
Comment: 	three cycles, strain at 30 microns, drive control mode=none 
Serial Number:	3066274 
Data Collected:	2/26/2016 8:39:41 PM 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\Calibrations\2_16_16 Tension.dm8c 
Date/Time:	 
Initial Conditions 
Temperature:	 
Measuring System:	Tension - Rectangle 
Clamp Mass	9.343 g 
Length:	5.830 mm 
Width:	8.380 mm 
Thickness:	0.440 mm 
End Condition:	Go To Load 
Total Points in Run:	2277 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 75.00°C to 150.00°C at 2.00°C/min 
 
2)	Cool from 150.00°C to 40.00°C at 2.00°C/min 
 
3)	Heat from 40.00°C to 150.00°C at 2.00°C/min 
 
4)	Cool from 150.00°C to 40.00°C at 2.00°C/min 
 
5)	Heat from 40.00°C to 150.00°C at 2.00°C/min 
 
6)	Cool from 150.00°C to 40.00°C at 2.00°C/min 
 
1) DMA8000 Temperature Scan 
	Time     	Sample     	Program     	Frequency     	Raw Dynamic	Raw Static	In-Phase     	Out-Of-Phase	Zero Displacement	Min Displacement	Max Displacement	Spring     	C*     	Measured     	Corrected     	Corrected     	Stiffness*	Total     	Stiffness     	Inertia     	Sample     	Ratio of     	Total     	Sample     	Total Applied	Static Force	Static     	Static     	Static     	Static Stress	Static     	Static Strain	Static     	Dynamic Force	Displacement	Dynamic     	Dynamic     	Storage     	Loss Modulus	Tan Delta     	Loss Viscosity	Storage     	Complex     	Shear Storage	Shear Loss	Complex     	Shear Complex 
	          	Temperature	Temperature	          	Force     	Force     	Angle     	Angle     	               	               	               	Stiffness     	          	Tan Delta     	Total Tan Delta	Total Delta	          	Stiffness'	Less Spring	          	Stiffness'	Sample to Total	Stiffness''	Stiffness''	Static Force	          	Force Corrected	Displacement	Displacement Co	          	Stress Correcte	          	Strain Correcte	          	Amplitude     	Stress     	Strain     	Modulus     	          	          	               	Viscosity     	Viscosity     	Modulus     	Modulus     	Modulus     	Modulus      
	0.000000	74.250000	75.000000	1.000001	66.000000	2075.000000	525350.000000	68150.250000	41211764.250000	39306.375000	40961.375000	0.000045	529751.903324	0.129724	0.116796	0.116270	6530.468088	6493.153188	4148.291400	1.863819	4150.155219	0.638975	759.190774	757.801389	0.145986	0.454221	0.000000	0.131451	0.000000	123188.631954	0.000000	0.022547	0.000000	0.109939	0.026151	29816.332127	0.004486	6561999.600401	1198194.320012	0.182596	190698.397750	1044373.845655	1061641.468855	2430370.222371	443775.674079	6670495.362727	2470553.838047 
	0.133119	74.400000	75.266238	1.000001	73.000000	2075.000000	594328.625000	71165.625000	41179254.375000	39137.375000	41009.750000	0.000045	598574.189784	0.119741	0.106844	0.106440	6392.603607	6362.947781	4017.596729	1.863819	4019.460547	0.631513	680.556812	679.167137	0.145986	0.456697	0.002476	0.132480	0.001028	123860.158717	671.526763	0.022724	0.000176	0.120179	0.029581	32593.523485	0.005074	6355352.297190	1073862.120515	0.168970	170910.329290	1011484.931926	1025822.649473	2353834.184145	397726.711302	6445438.904782	2387199.594364 
	0.270139	74.500000	75.540279	1.000001	73.000000	2075.000000	590602.500000	69418.000000	41176316.750000	39138.000000	41000.750000	0.000045	594668.118979	0.117538	0.104647	0.104267	6434.593351	6406.262438	4060.867041	1.863819	4062.730859	0.633997	671.102678	669.712977	0.145986	0.456921	0.002700	0.132573	0.001121	123920.856815	732.224861	0.022740	0.000192	0.120652	0.029395	32721.717256	0.005042	6423768.959810	1058913.716486	0.164843	168531.218782	1022373.773346	1036171.271620	2379173.688818	392190.265365	6510461.266913	2411281.950709 
	0.399880	74.600000	75.799759	1.000001	73.000000	2075.000000	589359.250000	68841.750000	41174058.000000	39141.375000	40999.250000	0.000045	593366.254605	0.116808	0.103919	0.103547	6448.711053	6420.816093	4075.386584	1.863819	4077.250403	0.634821	667.951045	666.561324	0.145986	0.457093	0.002872	0.132644	0.001193	123967.529855	778.897901	0.022752	0.000205	0.120808	0.029333	32764.247686	0.005031	6446726.472217	1053930.494001	0.163483	167738.114919	1026027.572032	1039648.331777	2387676.471191	390344.627408	6532308.297513	2419373.443524 
	0.533780	74.775000	76.067559	1.000001	73.000000	2075.000000	588890.375000	68261.875000	41171745.625000	39140.750000	40994.625000	0.000045	592833.498839	0.115916	0.103030	0.102668	6454.506252	6427.179123	4081.714679	1.863819	4083.578497	0.635177	662.892479	661.502737	0.145986	0.457269	0.003048	0.132717	0.001266	124015.312819	826.680866	0.022765	0.000217	0.120876	0.029309	32782.621265	0.005027	6456732.110573	1045932.131998	0.161991	166465.137078	1027620.017574	1041015.630229	2391382.263175	387382.271110	6540899.293862	2422555.294023 
	0.665860	74.912500	76.331721	1.000001	73.000000	2075.000000	588903.750000	67901.000000	41169812.750000	39148.000000	40992.375000	0.000045	592805.341208	0.115301	0.102416	0.102060	6454.812834	6427.886977	4082.393321	1.863819	4084.257139	0.635212	659.016404	657.626644	0.145986	0.457417	0.003195	0.132778	0.001327	124055.255232	866.623278	0.022775	0.000228	0.120883	0.029309	32784.459692	0.005027	6457805.142781	1039803.465066	0.161015	165489.730214	1027790.795819	1041028.707950	2391779.682511	385112.394469	6540981.463671	2422585.727286 
	0.796380	75.137500	76.592760	1.000001	73.000000	2075.000000	588808.875000	67293.125000	41167675.875000	39144.875000	40990.000000	0.000045	592641.760215	0.114287	0.101405	0.101060	6456.594492	6430.320804	4084.794841	1.863819	4086.658660	0.635345	652.758051	651.368273	0.145986	0.457579	0.003358	0.132846	0.001395	124099.414787	910.782833	0.022787	0.000239	0.120908	0.029304	32791.324406	0.005026	6461602.295801	1029908.068636	0.159389	163914.830206	1028395.131013	1041376.309051	2393186.035482	381447.432828	6543165.507531	2423394.632419 
	0.928460	75.350000	76.856921	1.000001	73.000000	2075.000000	587660.875000	67288.375000	41165720.125000	39141.125000	40986.625000	0.000045	591500.658847	0.114502	0.101620	0.101272	6469.050317	6442.599497	4097.043955	1.863819	4098.907773	0.636036	655.389808	654.000012	0.145986	0.457728	0.003507	0.132908	0.001456	124139.832716	951.200762	0.022797	0.000250	0.121040	0.029247	32826.946357	0.005017	6480969.927993	1034069.231651	0.159555	164577.099344	1031477.582971	1044524.593200	2400359.232590	382988.604315	6562946.775908	2430721.028114 
	1.057681	75.600000	77.115362	1.000001	73.000000	2075.000000	587652.125000	66822.375000	41163522.875000	39148.125000	40982.500000	0.000045	591439.134500	0.113711	0.100831	0.100491	6469.723259	6443.781474	4098.192689	1.863819	4100.056508	0.636097	650.419783	649.029968	0.145986	0.457896	0.003675	0.132977	0.001526	124185.243141	996.611187	0.022809	0.000262	0.121051	0.029246	32830.124870	0.005017	6482786.244673	1026210.867604	0.158298	163326.402852	1031766.658519	1044613.781022	2401031.942471	380078.099113	6563507.159965	2430928.577765 
