Time	Sample     	Program Temperature	Frequency     	Raw Dynamic	Raw Static	In-Phase     	Out-Of-Phase	Zero Displacement	Min Displacement	Max Displacement	Spring     	C*     	Measured     	Corrected     	Corrected     	Stiffness*	Total     	Stiffness     	Inertia     	Sample     	Ratio of     	Total     	Sample     	Total Applied	Static Force	Static     	Static Displacement	Static Displacement Corrected	Static Stress	Static     	Static Strain	Static     	Dynamic Force	Displacement	Dynamic     	Dynamic     	Storage Modulus	Loss Modulus	Tan Delta	Loss Viscosity	Storage     	Complex     	Shear Storage	Shear Loss	Complex     	Shear Complex 
          	Temperature		          	Force     	Force     	Angle     	Angle     	               	               	               	Stiffness     	          	Tan Delta     	Total Tan Delta	Total Delta	          	Stiffness'	Less Spring	          	Stiffness'	Sample to Total	Stiffness''	Stiffness''	Static Force	          	Force Corrected	Displacement	Displacement Co	          	Stress Correcte	          	Strain Correcte	          	Amplitude     	Stress     	Strain     		          	          	               	Viscosity     	Viscosity     	Modulus     	Modulus     	Modulus     	Modulus      
0	93.9875	94	1.000001	166	2171	570987	127047.25	40893208	38932.875	40740.5	0.000045	584950.56022	0.222505	0.209178	0.206204	14875.166259	14593.178502	12243.405501	1.863819	12245.26932	0.839002	3060.153967	3058.761672	0.646509	0.979066	0	0.141527	0	265531.14516	0	0.024276	0	0.363073	0.028419	98468.496151	0.004875	19361553.519134	4836347.511813	0.249791	769728.003264	3081484.507467	3176165.607894	7170945.747827	1791239.81919	19956452.889461	7391278.847949
0.166139	94.8375	94.332278	1.000001	171	2174	582121.5	125605	40941495	38958.75	40797.25	0.000045	595518.309364	0.215771	0.202481	0.19978	15051.295893	14786.051312	12437.039482	1.863819	12438.903301	0.841153	3001.406263	3000.014419	0.66215	0.991012	0.011946	0.14	0.001527	268770.966205	3239.821045	0.024014	0.000262	0.374968	0.028969	101694.505089	0.004969	19667717.03251	4743459.552967	0.24118	754944.437171	3130211.905415	3219963.924646	7284339.641671	1756836.871469	20231646.047752	7493202.239908
0.2951	95.4625	94.590199	1.000001	171	2174	582395.875	123460.125	40945400.375	38958.625	40800	0.000045	595338.019685	0.211987	0.198716	0.196161	15055.853964	14801.359542	12452.409014	1.863819	12454.272833	0.841322	2948.649697	2947.25789	0.66215	0.990714	0.011647	0.139877	0.001651	268689.943642	3158.798483	0.023993	0.000283	0.375043	0.028982	101714.86529	0.004971	19692018.500629	4660043.799286	0.236646	741668.418158	3134079.601127	3220640.772997	7293340.185418	1725942.147884	20235898.81474	7494777.338793
0.424579	96.175	94.849159	1.000001	171	2174	583116.75	121518.5	40946895.25	38961.375	40798.875	0.000045	595644.096733	0.208395	0.195143	0.192721	15048.117379	14803.834495	12454.907421	1.863819	12456.771239	0.84135	2896.103757	2894.711963	0.66215	0.990599	0.011533	0.139829	0.001698	268658.931811	3127.786652	0.023984	0.000291	0.375056	0.029016	101718.263655	0.004977	19695968.844945	4576961.039735	0.232381	728445.396765	3134708.317454	3218233.821769	7294803.275906	1695170.755457	20220775.482169	7489176.104507
0.5538	96.775	95.1076	1.000001	171	2174	583981.5	120039.75	40947269.25	38962.375	40799.75	0.000045	596191.189068	0.205554	0.192316	0.189997	15034.308537	14798.082998	12449.161791	1.863819	12451.025609	0.841289	2853.039309	2851.647518	0.66215	0.990571	0.011504	0.139817	0.00171	268651.173147	3120.027987	0.023982	0.000293	0.375028	0.029058	101710.85768	0.004984	19686884.167661	4508869.88287	0.229029	717608.361153	3133262.447303	3214388.794728	7291438.580615	1669951.80847	20196616.445621	7480228.313193
0.68406	97.375	95.368121	1.000001	171	2174	585253	118788.5	40947189	38963	40801.625	0.000045	597186.555225	0.202969	0.189745	0.187516	15009.249966	14780.415805	12431.493339	1.863819	12433.357158	0.841099	2811.514046	2810.122255	0.66215	0.990577	0.01151	0.13982	0.001707	268652.837936	3121.692777	0.023983	0.000293	0.374944	0.029121	101687.9146	0.004995	19658947.773501	4443212.395374	0.226015	707158.655745	3128816.235602	3207735.088901	7281091.767963	1645634.220509	20154809.945808	7464744.424373
0.81588	97.925	95.63176	1.000001	171	2174	586416.75	117951	40947273.75	38950.875	40803.125	0.000045	598161.385482	0.201139	0.187923	0.185756	14984.789225	14761.210641	12412.289504	1.863819	12414.153323	0.840892	2780.887042	2779.495252	0.66215	0.99057	0.011504	0.139817	0.00171	268651.079794	3119.934635	0.023982	0.000293	0.374852	0.029178	101662.934074	0.005005	19628583.714802	4394786.645333	0.223897	699451.464359	3123983.649396	3201328.816708	7269845.820297	1627698.757531	20114558.118611	7449836.340226
0.94718	98.325	95.894361	1.000001	171	2174	587561.75	116888.75	40947222.75	38950.875	40803.625	0.000045	599075.779797	0.198939	0.185734	0.183641	14961.917317	14744.495938	12395.574002	1.863819	12397.437821	0.840712	2745.368064	2743.976273	0.66215	0.990574	0.011508	0.139819	0.001709	268652.137791	3120.992631	0.023983	0.000293	0.374771	0.029234	101641.123935	0.005014	19602154.072349	4338625.969132	0.221334	690513.222215	3119777.244488	3195280.670814	7260057.063833	1606898.507086	20076556.467087	7435761.654477
1.078741	98.65	96.157481	1.000001	171	2174	588566.5	116077.5	40947597.25	38949.5	40805.25	0.000045	599903.751387	0.197221	0.184024	0.181988	14941.267267	14728.632365	12379.716304	1.863819	12381.580122	0.840541	2717.160152	2715.768365	0.66215	0.990546	0.011479	0.139807	0.00172	268644.368799	3113.223639	0.023981	0.000295	0.374695	0.029284	101620.433059	0.005023	19577080.742428	4294025.159564	0.219339	683414.788529	3115786.703252	3189856.196342	7250770.645344	1590379.688727	20042473.461789	7423138.319181
1.208481	98.9625	96.416961	1.000001	171	2174	589181.625	115386.875	40947952.875	38959.625	40806	0.000045	600374.148477	0.195843	0.182653	0.180661	14929.560686	14720.672253	12371.76177	1.863819	12373.625589	0.840455	2695.446225	2694.054441	0.66215	0.990518	0.011452	0.139796	0.001732	268636.991416	3105.846256	0.023979	0.000297	0.374657	0.029314	101610.055475	0.005028	19564503.466416	4259692.285053	0.217726	677950.546169	3113784.96919	3186734.029913	7246112.394969	1577663.809279	20022856.296012	7415872.702227
1.337441	99.1625	96.674881	1.000001	171	2174	590238.625	114876.375	40948623.125	38958.625	40806.75	0.000045	601313.741715	0.194627	0.181443	0.17949	14906.232241	14700.773246	12351.873275	1.863819	12353.737094	0.84024	2673.961767	2672.569989	0.66215	0.990467	0.011401	0.139775	0.001753	268623.087314	3091.942154	0.023975	0.000301	0.374561	0.029366	101584.035797	0.005037	19533056.860758	4225722.237994	0.216337	672544.049545	3108780.090421	3180696.330864	7234465.503984	1565082.310368	19984920.284011	7401822.327411
1.467441	99.3	96.934882	1.000001	171	2174	591045.625	114240.875	40949387.125	38953.75	40806.5	0.000045	601984.973527	0.193286	0.180108	0.178198	14889.611332	14687.799436	12338.911447	1.863819	12340.775265	0.840099	2651.94262	2650.550849	0.66215	0.990409	0.011342	0.13975	0.001777	268607.238601	3076.093442	0.023971	0.000305	0.374498	0.029406	101567.075652	0.005044	19512562.323057	4190906.772718	0.21478	667003.000539	3105518.286023	3176340.162444	7226874.934466	1552187.693599	19957549.648912	7391685.055153
1.595881	99.5	97.191762	1.000001	171	2174	591835.75	113826.75	40950228.75	38959.625	40809	0.000045	602682.407238	0.192328	0.179155	0.177275	14872.380836	14673.214614	12324.339822	1.863819	12326.203641	0.839941	2635.278898	2633.887136	0.66215	0.990344	0.011278	0.139724	0.001804	268589.779853	3058.634694	0.023966	0.000309	0.374428	0.029445	101547.971449	0.005051	19489522.462718	4164559.015022	0.213682	662809.627985	3101851.381267	3171876.194686	7218341.652858	1542429.264823	19929501.690067	7381296.922247
