Time,Extension,Load
(sec),(mm),(N)
0.00000,3.40186,0.00287
0.10000,3.40959,0.05205
0.20000,3.43052,-0.21858
0.30000,3.44932,0.04548
0.40000,3.46719,0.05509
0.50000,3.48479,0.09570
0.60000,3.50146,-0.02149
0.70000,3.51852,-0.00544
0.80000,3.53519,0.00120
0.90000,3.55186,0.02706
1.00000,3.56852,0.05757
1.10000,3.58492,0.04632
1.20000,3.60172,0.07459
1.30000,3.61839,0.06336
1.40000,3.63546,0.05952
1.50000,3.65186,0.05862
1.60000,3.66852,0.02887
1.70000,3.68519,0.00212
1.80000,3.70186,0.02633
1.90000,3.71852,0.05119
2.00000,3.73506,0.06133
2.10000,3.75186,0.07375
2.15400,3.76079,0.03170
