Time sec,Extension mm,Load kgf,Compressive stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Compressive extension mm,Compressive strain %,Compressive load kgf,Displacement (Strain 1) mm,True strain %,Corrected Position mm,True stress Pa
0,0,-0.01047145,0.000270142,0,0,0,0,0,0,0,0.01047145,0,0,0,270.142
0.05,-0.001199997,-0.01040543,0.000268439,0,0,0,0,0,0.001199997,0.005454532,0.01040543,0,0.005454681,-0.001199997,268.4243
0.1,-0.005466653,-0.01056722,0.0002726129,0,0,0,0,0,0.005466653,0.02484842,0.01056722,0,0.02485151,-0.005466653,272.5451
0.15,-0.01439997,-0.01081551,0.0002790183,0,0,0,0,0,0.01439997,0.06545439,0.01081552,0,0.06547582,-0.01439997,278.8356
0.2,-0.02519994,-0.01131026,0.0002917816,0,0,0,0,0,0.02519994,0.1145452,0.01131026,0,0.1146108,-0.02519994,291.4474
0.25,-0.03533325,-0.01172095,0.0003023767,0,0,0,0,0,0.03533325,0.1606057,0.01172095,0,0.1607348,-0.03533325,301.8911
0.3,-0.04533322,-0.01216028,0.0003137104,0,0,0,0,0,0.04533322,0.2060601,0.01216028,0,0.2062727,-0.04533322,313.0639
0.35,-0.05479987,-0.01236786,0.0003190655,0,0,0,0,0,0.05479987,0.2490903,0.01236786,0,0.2494011,-0.05479987,318.2708
0.4,-0.06386652,-0.01283362,0.0003310813,0,0,0,0,0,0.06386652,0.2903023,0.01283362,0,0.2907245,-0.06386652,330.1201
0.45,-0.07306649,-0.01292038,0.0003333196,0,0,0,0,0,0.07306649,0.3321204,0.01292038,0,0.3326732,-0.07306649,332.2125
0.5,-0.0819998,-0.01330683,0.000343289,0,0,0,0,0,0.0819998,0.3727264,0.01330683,0,0.3734227,-0.0819998,342.0095
0.55,-0.09066644,-0.01354487,0.0003494301,0,0,0,0,0,0.09066644,0.4121202,0.01354487,0,0.4129717,-0.09066644,347.9901
0.6,-0.09946642,-0.01386846,0.0003577779,0,0,0,0,0,0.09946642,0.4521201,0.01386846,0,0.4531453,-0.09946642,356.1603
0.6500001,-0.1079997,-0.01396975,0.0003603911,0,0,0,0,0,0.1079997,0.4909079,0.01396975,0,0.4921168,-0.1079997,358.6219
0.7000001,-0.116533,-0.01431233,0.000369229,0,0,0,0,0,0.1165331,0.5296957,0.01431233,0,0.5311036,-0.116533,367.2732
0.7500001,-0.124933,-0.01442431,0.0003721178,0,0,0,0,0,0.124933,0.5678775,0.01442431,0,0.569496,-0.124933,370.0046
0.8,-0.1330664,-0.0147696,0.0003810257,0,0,0,0,0,0.1330664,0.6048471,0.0147696,0,0.6066837,-0.1330664,378.7211
0.85,-0.141733,-0.01479149,0.0003815904,0,0,0,0,0,0.141733,0.6442409,0.01479149,0,0.6463251,-0.141733,379.132
0.9000001,-0.1499996,-0.01522425,0.0003927546,0,0,0,0,0,0.1499996,0.6818165,0.01522425,0,0.6841515,-0.1499996,390.0768
0.9500001,-0.158133,-0.01524386,0.0003932606,0,0,0,0,0,0.158133,0.7187862,0.01524386,0,0.7213819,-0.158133,390.4338
1,-0.1667996,-0.01539698,0.0003972109,0,0,0,0,0,0.1667996,0.75818,0.01539698,0,0.7610688,-0.1667996,394.1993
1.05,-0.1751996,-0.01568984,0.0004047658,0,0,0,0,0,0.1751996,0.7963617,0.01568984,0,0.7995496,-0.1751996,401.5424
1.1,-0.1831995,-0.01576644,0.0004067421,0,0,0,0,0,0.1831995,0.8327252,0.01576644,0,0.8362117,-0.1831995,403.3551
1.15,-0.1917329,-0.01602717,0.0004134683,0,0,0,0,0,0.1917329,0.871513,0.01602717,0,0.8753329,-0.1917329,409.8648
1.2,-0.2003995,-0.01624814,0.000419169,0,0,0,0,0,0.2003995,0.9109069,0.01624814,0,0.915081,-0.2003995,415.3507
1.25,-0.2085328,-0.01639759,0.0004230244,0,0,0,0,0,0.2085328,0.9478765,0.01639759,0,0.9523974,-0.2085328,419.0147
1.3,-0.2167995,-0.016548,0.0004269047,0,0,0,0,0,0.2167995,0.9854521,0.016548,0,0.9903398,-0.2167995,422.6977
1.35,-0.2254661,-0.01676442,0.000432488,0,0,0,0,0,0.2254661,1.024846,0.01676442,0,1.030134,-0.2254661,428.0556
1.4,-0.2337328,-0.01691501,0.0004363727,0,0,0,0,0,0.2337328,1.062422,0.01691501,0,1.068106,-0.2337328,431.7366
1.45,-0.2419994,-0.01707172,0.0004404156,0,0,0,0,0,0.2419994,1.099997,0.01707172,0,1.106092,-0.2419994,435.5711
1.5,-0.2503994,-0.01731835,0.0004467781,0,0,0,0,0,0.2503994,1.138179,0.01731835,0,1.144706,-0.2503994,441.6929
1.55,-0.258666,-0.0174312,0.0004496895,0,0,0,0,0,0.258666,1.175755,0.0174312,0,1.182721,-0.258666,444.4022
1.6,-0.2669327,-0.01759098,0.0004538114,0,0,0,0,0,0.2669327,1.21333,0.01759098,0,1.220751,-0.2669327,448.3051
1.65,-0.2753327,-0.01771757,0.0004570773,0,0,0,0,0,0.2753327,1.251512,0.01771757,0,1.259409,-0.2753327,451.3569
1.7,-0.283466,-0.01786772,0.0004609508,0,0,0,0,0,0.283466,1.288482,0.01786772,0,1.296855,-0.283466,455.0115
1.75,-0.2919993,-0.01805893,0.0004658836,0,0,0,0,0,0.2919993,1.327269,0.01805893,0,1.336156,-0.2919993,459.7001
1.8,-0.3002659,-0.01827351,0.0004714194,0,0,0,0,0,0.3002659,1.364845,0.01827351,0,1.374245,-0.3002659,464.9853
1.85,-0.3082659,-0.01841832,0.0004751552,0,0,0,0,0,0.3082659,1.401209,0.01841832,0,1.411118,-0.3082659,468.4973
1.9,-0.3169326,-0.0186224,0.00048042,0,0,0,0,0,0.3169326,1.440603,0.0186224,0,1.45108,-0.3169326,473.499
1.95,-0.3253325,-0.01872107,0.0004829654,0,0,0,0,0,0.3253326,1.478784,0.01872107,0,1.489827,-0.3253325,475.8234
2,-0.3334659,-0.01894835,0.0004888288,0,0,0,0,0,0.3334659,1.515754,0.01894834,0,1.527359,-0.3334659,481.4193
2.05,-0.3418658,-0.01914673,0.0004939467,0,0,0,0,0,0.3418658,1.553936,0.01914673,0,1.566136,-0.3418658,486.2711
2.1,-0.3503991,-0.01938408,0.0005000698,0,0,0,0,0,0.3503991,1.592723,0.01938408,0,1.605544,-0.3503991,492.1051
2.15,-0.3585325,-0.01947364,0.0005023803,0,0,0,0,0,0.3585325,1.629693,0.01947364,0,1.643119,-0.3585325,494.1931
2.2,-0.3667991,-0.01963788,0.0005066175,0,0,0,0,0,0.3667991,1.667269,0.01963788,0,1.681324,-0.3667991,498.1708
2.25,-0.3754658,-0.01981517,0.0005111911,0,0,0,0,0,0.3754658,1.706663,0.01981517,0,1.721394,-0.3754658,502.4668
2.3,-0.3835991,-0.02008605,0.0005181793,0,0,0,0,0,0.3835991,1.743632,0.02008605,0,1.759012,-0.3835991,509.1441
2.35,-0.3917324,-0.02015924,0.0005200674,0,0,0,0,0,0.3917324,1.780602,0.02015924,0,1.796645,-0.3917324,510.8071
2.4,-0.4001324,-0.02030423,0.0005238077,0,0,0,0,0,0.4001324,1.818783,0.02030423,0,1.835527,-0.4001324,514.2808
2.45,-0.4085323,-0.02056644,0.0005305721,0,0,0,0,0,0.4085323,1.856965,0.02056644,0,1.874423,-0.4085323,520.7196
2.5,-0.4166657,-0.02068638,0.0005336665,0,0,0,0,0,0.4166656,1.893935,0.02068638,0,1.912099,-0.4166657,523.5592
2.55,-0.4250656,-0.02089781,0.000539121,0,0,0,0,0,0.4250656,1.932117,0.02089781,0,1.951026,-0.4250656,528.7045
2.6,-0.4334656,-0.02101705,0.0005421972,0,0,0,0,0,0.4334656,1.970298,0.02101705,0,1.989967,-0.4334656,531.5143
2.65,-0.4417323,-0.02113131,0.0005451447,0,0,0,0,0,0.4417323,2.007874,0.02113131,0,2.028306,-0.4417323,534.1989
2.7,-0.4499989,-0.02129196,0.0005492892,0,0,0,0,0,0.4499989,2.045449,0.02129196,0,2.066659,-0.4499989,538.0538
2.75,-0.4583989,-0.02150996,0.0005549131,0,0,0,0,0,0.4583989,2.083631,0.02150996,0,2.105645,-0.4583989,543.3508
2.8,-0.4669322,-0.02177024,0.0005616279,0,0,0,0,0,0.4669322,2.122419,0.02177024,0,2.145266,-0.4669322,549.7078
2.85,-0.4751988,-0.02192442,0.0005656054,0,0,0,0,0,0.4751989,2.159995,0.02192442,0,2.183664,-0.4751988,553.3883
2.9,-0.4834655,-0.02207702,0.0005695421,0,0,0,0,0,0.4834655,2.19757,0.02207702,0,2.222077,-0.4834655,557.026
2.95,-0.4918655,-0.02229055,0.0005750508,0,0,0,0,0,0.4918655,2.235752,0.02229055,0,2.261124,-0.4918655,562.1941
3,-0.5003988,-0.02256948,0.0005822467,0,0,0,0,0,0.5003988,2.27454,0.02256948,0,2.300807,-0.5003988,569.0033
3.05,-0.5086655,-0.02271219,0.0005859283,0,0,0,0,0,0.5086654,2.312116,0.02271219,0,2.339264,-0.5086655,572.3809
3.1,-0.5169321,-0.02281637,0.000588616,0,0,0,0,0,0.5169321,2.349691,0.02281637,0,2.377737,-0.5169321,574.7853
3.15,-0.5254654,-0.02306773,0.0005951005,0,0,0,0,0,0.5254654,2.388479,0.02306773,0,2.417466,-0.5254654,580.8866
3.2,-0.5335987,-0.02323075,0.000599306,0,0,0,0,0,0.5335987,2.425449,0.02323074,0,2.455347,-0.5335987,584.7701
3.25,-0.5418654,-0.02344366,0.0006047988,0,0,0,0,0,0.5418653,2.463024,0.02344367,0,2.493864,-0.5418654,589.9025
3.3,-0.5502653,-0.02355766,0.0006077396,0,0,0,0,0,0.5502653,2.501206,0.02355766,0,2.533018,-0.5502653,592.5387
3.35,-0.5586653,-0.02384018,0.000615028,0,0,0,0,0,0.5586653,2.539388,0.02384018,0,2.572187,-0.5586653,599.4101
3.4,-0.5666653,-0.02400074,0.0006191703,0,0,0,0,0,0.5666653,2.575752,0.02400074,0,2.609505,-0.5666653,603.222
3.45,-0.574932,-0.02424124,0.0006253747,0,0,0,0,0,0.574932,2.613327,0.02424124,0,2.648081,-0.574932,609.0316
3.5,-0.5834653,-0.0242549,0.000625727,0,0,0,0,0,0.5834653,2.652115,0.0242549,0,2.687918,-0.5834653,609.132
3.55,-0.5915986,-0.02471103,0.0006374943,0,0,0,0,0,0.5915986,2.689084,0.02471103,0,2.725902,-0.5915986,620.3516
3.6,-0.5999985,-0.0247795,0.0006392606,0,0,0,0,0,0.5999985,2.727266,0.0247795,0,2.765146,-0.5999985,621.8262
3.65,-0.6085319,-0.02495608,0.0006438161,0,0,0,0,0,0.6085319,2.766054,0.02495608,0,2.80503,-0.6085319,626.0078
3.7,-0.6169318,-0.02512497,0.000648173,0,0,0,0,0,0.6169318,2.804235,0.02512497,0,2.844305,-0.6169318,629.9967
3.75,-0.6253318,-0.02542596,0.0006559381,0,0,0,0,0,0.6253318,2.842417,0.02542596,0,2.883596,-0.6253318,637.2936
3.8,-0.6337318,-0.02548199,0.0006573836,0,0,0,0,0,0.6337318,2.880599,0.02548199,0,2.922903,-0.6337318,638.447
3.85,-0.6419984,-0.02578903,0.0006653045,0,0,0,0,0,0.6419984,2.918175,0.02578903,0,2.9616,-0.6419984,645.8897
3.9,-0.6503984,-0.02610675,0.0006735009,0,0,0,0,0,0.6503984,2.956357,0.02610675,0,3.000938,-0.6503984,653.5899
3.95,-0.6587984,-0.02622494,0.0006765501,0,0,0,0,0,0.6587984,2.994538,0.02622494,0,3.04029,-0.6587984,656.2905
4,-0.6669317,-0.02633175,0.0006793056,0,0,0,0,0,0.6669317,3.031508,0.02633175,0,3.078408,-0.6669317,658.7124
4.05,-0.675465,-0.02668239,0.0006883512,0,0,0,0,0,0.675465,3.070296,0.02668239,0,3.118417,-0.675465,667.2168
4.1,-0.6837317,-0.02688051,0.0006934624,0,0,0,0,0,0.6837317,3.107871,0.02688051,0,3.15719,-0.6837317,671.9105
4.15,-0.6917316,-0.02691614,0.0006943817,0,0,0,0,0,0.6917316,3.144235,0.02691614,0,3.194727,-0.6917316,672.5487
4.2,-0.7001316,-0.0271949,0.0007015731,0,0,0,0,0,0.7001317,3.182416,0.0271949,0,3.234156,-0.7001316,679.2461
4.25,-0.7085316,-0.02742822,0.0007075923,0,0,0,0,0,0.7085316,3.220598,0.02742822,0,3.2736,-0.7085316,684.8036
4.3,-0.7166649,-0.02755368,0.0007108289,0,0,0,0,0,0.716665,3.257568,0.02755368,0,3.311808,-0.7166649,687.6731
4.35,-0.7251982,-0.02773832,0.0007155922,0,0,0,0,0,0.7251983,3.296356,0.02773832,0,3.35191,-0.7251982,692.0038
4.4,-0.7337315,-0.02812258,0.0007255052,0,0,0,0,0,0.7337316,3.335143,0.02812258,0,3.392028,-0.7337315,701.3086
4.45,-0.7418648,-0.02813912,0.0007259321,0,0,0,0,0,0.7418649,3.372113,0.02813912,0,3.43028,-0.7418648,701.4529
4.5,-0.7501315,-0.02837945,0.000732132,0,0,0,0,0,0.7501315,3.409689,0.02837945,0,3.469175,-0.7501315,707.1686
4.55,-0.7587982,-0.02869147,0.0007401817,0,0,0,0,0,0.7587982,3.449083,0.02869147,0,3.509967,-0.7587982,714.6522
4.6,-0.7670648,-0.02883742,0.0007439467,0,0,0,0,0,0.7670648,3.486658,0.02883742,0,3.548893,-0.7670648,718.0078
4.65,-0.7753315,-0.02905831,0.0007496452,0,0,0,0,0,0.7753314,3.524234,0.02905831,0,3.587834,-0.7753315,723.2259
4.7,-0.7837314,-0.02918455,0.0007529021,0,0,0,0,0,0.7837314,3.562415,0.02918455,0,3.627418,-0.7837314,726.0805
4.75,-0.7919981,-0.02952337,0.0007616428,0,0,0,0,0,0.791998,3.599991,0.02952337,0,3.666389,-0.7919981,734.2238
4.8,-0.8002647,-0.0295541,0.0007624356,0,0,0,0,0,0.8002647,3.637567,0.0295541,0,3.705376,-0.8002647,734.7015
4.85,-0.8086647,-0.0298438,0.0007699093,0,0,0,0,0,0.8086647,3.675749,0.0298438,0,3.745007,-0.8086647,741.6094
4.9,-0.816798,-0.02993144,0.0007721701,0,0,0,0,0,0.816798,3.712718,0.02993144,0,3.783394,-0.816798,743.5017
4.95,-0.825198,-0.03018603,0.0007787382,0,0,0,0,0,0.8251979,3.7509,0.03018603,0,3.823056,-0.825198,749.5285
5,-0.8334646,-0.03037803,0.0007836913,0,0,0,0,0,0.8334646,3.788476,0.03037803,0,3.862104,-0.8334646,754.0014
5.05,-0.841598,-0.03073987,0.0007930261,0,0,0,0,0,0.841598,3.825445,0.03073987,0,3.900537,-0.841598,762.6893
5.1,-0.8501313,-0.03081455,0.0007949527,0,0,0,0,0,0.8501313,3.864233,0.03081455,0,3.940875,-0.8501313,764.2339
5.15,-0.8585312,-0.03100979,0.0007999893,0,0,0,0,0,0.8585312,3.902415,0.03100979,0,3.9806,-0.8585312,768.7704
5.2,-0.8667979,-0.0312467,0.0008061011,0,0,0,0,0,0.8667979,3.93999,0.0312467,0,4.019709,-0.8667979,774.3408
5.25,-0.8753312,-0.03146933,0.0008118448,0,0,0,0,0,0.8753312,3.978778,0.03146933,0,4.060096,-0.8753312,779.5433
5.3,-0.8838645,-0.0315666,0.000814354,0,0,0,0,0,0.8838646,4.017566,0.0315666,0,4.100499,-0.8838645,781.6368
5.35,-0.8918645,-0.03193737,0.0008239192,0,0,0,0,0,0.8918645,4.053929,0.03193737,0,4.138392,-0.8918645,790.5181
5.4,-0.9001311,-0.03205924,0.0008270632,0,0,0,0,0,0.9001311,4.091505,0.03205924,0,4.177563,-0.9001311,793.2239
5.45,-0.9087978,-0.03230263,0.0008333422,0,0,0,0,0,0.9087978,4.130899,0.03230263,0,4.218646,-0.9087978,798.9177
5.5,-0.9169311,-0.03233634,0.0008342118,0,0,0,0,0,0.9169311,4.167869,0.03233634,0,4.257216,-0.9169311,799.4429
5.55,-0.9250644,-0.03285568,0.0008476098,0,0,0,0,0,0.9250644,4.204838,0.03285569,0,4.295801,-0.9250644,811.9692
5.6,-0.9335977,-0.03278407,0.0008457622,0,0,0,0,0,0.9335977,4.243626,0.03278407,0,4.336299,-0.9335977,809.8712
5.65,-0.9418644,-0.03307097,0.0008531636,0,0,0,0,0,0.9418644,4.281202,0.03307097,0,4.375548,-0.9418644,816.638
5.7,-0.9499977,-0.03311019,0.0008541755,0,0,0,0,0,0.9499977,4.318172,0.03311019,0,4.414179,-0.9499977,817.2907
5.75,-0.9583976,-0.03355564,0.0008656672,0,0,0,0,0,0.9583976,4.356353,0.03355564,0,4.454091,-0.9583976,827.9557
5.8,-0.9667976,-0.03358173,0.0008663402,0,0,0,0,0,0.9667976,4.394535,0.03358173,0,4.49402,-0.9667976,828.2686
5.85,-0.9750643,-0.03377556,0.0008713408,0,0,0,0,0,0.9750643,4.43211,0.03377556,0,4.533331,-0.9750643,832.722
5.9,-0.983331,-0.03397938,0.0008765989,0,0,0,0,0,0.983331,4.469687,0.03397938,0,4.572657,-0.983331,837.4177
5.95,-0.991731,-0.03441818,0.0008879189,0,0,0,0,0,0.9917309,4.507868,0.03441818,0,4.612633,-0.991731,847.8927
6,-1.000264,-0.03428607,0.0008845108,0,0,0,0,0,1.000264,4.546656,0.03428607,0,4.65326,-1.000264,844.2951
6.05,-1.008664,-0.03485496,0.0008991871,0,0,0,0,0,1.008664,4.584837,0.03485496,0,4.693268,-1.008664,857.9609
6.1,-1.016931,-0.03484962,0.0008990493,0,0,0,0,0,1.016931,4.622413,0.03484962,0,4.732657,-1.016931,857.4916
6.15,-1.025331,-0.03518214,0.0009076276,0,0,0,0,0,1.025331,4.660595,0.03518214,0,4.772698,-1.025331,865.3267
6.2,-1.033731,-0.03521164,0.0009083887,0,0,0,0,0,1.033731,4.698776,0.03521164,0,4.812754,-1.033731,865.7056
6.25,-1.041997,-0.03560141,0.000918444,0,0,0,0,0,1.041997,4.736352,0.03560141,0,4.85219,-1.041997,874.9432
6.3,-1.050264,-0.03552962,0.0009165919,0,0,0,0,0,1.050264,4.773928,0.03552962,0,4.891641,-1.050264,872.8344
6.35,-1.058797,-0.03598864,0.0009284338,0,0,0,0,0,1.058797,4.812716,0.03598864,0,4.932382,-1.058797,883.7509
6.4,-1.066931,-0.03605255,0.0009300825,0,0,0,0,0,1.066931,4.849685,0.03605255,0,4.971228,-1.066931,884.9765
6.45,-1.075064,-0.03634235,0.0009375585,0,0,0,0,0,1.075064,4.886655,0.03634235,0,5.01009,-1.075064,891.7433
6.5,-1.083464,-0.03624648,0.0009350853,0,0,0,0,0,1.083464,4.924837,0.03624647,0,5.050241,-1.083464,889.0339
6.55,-1.091864,-0.03694442,0.0009530909,0,0,0,0,0,1.091864,4.963018,0.03694442,0,5.090409,-1.091864,905.7888
6.6,-1.099997,-0.03680102,0.0009493913,0,0,0,0,0,1.099997,4.999988,0.03680102,0,5.129317,-1.099997,901.9219
6.65,-1.108264,-0.03712294,0.0009576962,0,0,0,0,0,1.108264,5.037563,0.03712294,0,5.168878,-1.108264,909.4516
6.7,-1.116931,-0.03713371,0.0009579741,0,0,0,0,0,1.116931,5.076957,0.0371337,0,5.21037,-1.116931,909.3381
6.75,-1.125064,-0.03761698,0.0009704414,0,0,0,0,0,1.125064,5.113927,0.03761698,0,5.249325,-1.125064,920.8138
6.8,-1.133331,-0.0375184,0.0009678983,0,0,0,0,0,1.133331,5.151503,0.0375184,0,5.288933,-1.133331,918.037
6.85,-1.141864,-0.03795063,0.000979049,0,0,0,0,0,1.141864,5.19029,0.03795063,0,5.329836,-1.141864,928.2335
6.9,-1.150264,-0.0379614,0.0009793268,0,0,0,0,0,1.150264,5.228472,0.0379614,0,5.370116,-1.150264,928.123
6.95,-1.158664,-0.0384789,0.0009926774,0,0,0,0,0,1.158664,5.266654,0.0384789,0,5.410413,-1.158664,940.3965
7,-1.167064,-0.03833987,0.0009890908,0,0,0,0,0,1.167064,5.304836,0.03833988,0,5.450725,-1.167064,936.6211
7.05,-1.175464,-0.03884013,0.001001996,0,0,0,0,0,1.175464,5.343017,0.03884013,0,5.491054,-1.175464,948.4596
7.1,-1.18373,-0.03866845,0.0009975673,0,0,0,0,0,1.18373,5.380593,0.03866845,0,5.530758,-1.18373,943.8923
7.15,-1.191997,-0.03938727,0.001016111,0,0,0,0,0,1.191997,5.418169,0.03938727,0,5.570479,-1.191997,961.0569
7.2,-1.20013,-0.0390373,0.001007083,0,0,0,0,0,1.20013,5.455138,0.03903729,0,5.609574,-1.20013,952.145
7.25,-1.20853,-0.03963259,0.00102244,0,0,0,0,0,1.20853,5.49332,0.03963259,0,5.649967,-1.20853,966.2742
7.3,-1.21693,-0.03943595,0.001017367,0,0,0,0,0,1.21693,5.531502,0.03943595,0,5.690376,-1.21693,961.0916
7.35,-1.22493,-0.04020297,0.001037155,0,0,0,0,0,1.22493,5.567865,0.04020297,0,5.728876,-1.22493,979.4075
7.4,-1.233597,-0.03969716,0.001024106,0,0,0,0,0,1.233597,5.607259,0.03969716,0,5.770602,-1.233597,966.6815
7.45,-1.241864,-0.04045827,0.001043741,0,0,0,0,0,1.241864,5.644835,0.04045827,0,5.810417,-1.241864,984.8235
7.5,-1.249997,-0.04015968,0.001036038,0,0,0,0,0,1.249997,5.681804,0.04015968,0,5.849606,-1.249997,977.1723
7.55,-1.25853,-0.04099092,0.001057482,0,0,0,0,0,1.25853,5.720592,0.04099092,0,5.890739,-1.25853,996.988
7.6,-1.267064,-0.04050843,0.001045035,0,0,0,0,0,1.267063,5.75938,0.04050843,0,5.931888,-1.267064,984.8476
7.65,-1.275064,-0.04120957,0.001063123,0,0,0,0,0,1.275064,5.795743,0.04120957,0,5.970482,-1.275064,1001.507
7.7,-1.283464,-0.0410065,0.001057884,0,0,0,0,0,1.283464,5.833925,0.0410065,0,6.011021,-1.283464,996.1681
7.75,-1.292264,-0.04176197,0.001077374,0,0,0,0,0,1.292264,5.873925,0.04176197,0,6.053508,-1.292264,1014.09
7.8,-1.300397,-0.04123693,0.001063829,0,0,0,0,0,1.300397,5.910895,0.04123693,0,6.092793,-1.300397,1000.947
7.85,-1.308664,-0.0419193,0.001081433,0,0,0,0,0,1.308663,5.948471,0.0419193,0,6.132737,-1.308664,1017.104
7.9,-1.317063,-0.04194411,0.001082073,0,0,0,0,0,1.317063,5.986652,0.04194411,0,6.173341,-1.317063,1017.293
7.95,-1.32533,-0.04234317,0.001092368,0,0,0,0,0,1.32533,6.024228,0.04234317,0,6.213318,-1.32533,1026.561
8,-1.333463,-0.0421457,0.001087273,0,0,0,0,0,1.333463,6.061198,0.0421457,0,6.252665,-1.333463,1021.371
8.05,-1.341863,-0.04269704,0.001101497,0,0,0,0,0,1.341863,6.099379,0.04269704,0,6.293319,-1.341863,1034.312
8.1,-1.35013,-0.04269236,0.001101376,0,0,0,0,0,1.35013,6.136955,0.04269236,0,6.333343,-1.35013,1033.785
8.15,-1.35853,-0.04300596,0.001109466,0,0,0,0,0,1.35853,6.175137,0.04300596,0,6.37403,-1.35853,1040.955
8.200001,-1.366797,-0.04289096,0.0011065,0,0,0,0,0,1.366797,6.212712,0.04289097,0,6.414086,-1.366797,1037.756
8.25,-1.37493,-0.04334959,0.001118331,0,0,0,0,0,1.37493,6.249682,0.04334959,0,6.453513,-1.37493,1048.439
8.3,-1.383597,-0.04337091,0.001118881,0,0,0,0,0,1.383597,6.289076,0.04337091,0,6.495542,-1.383597,1048.514
8.35,-1.391997,-0.04370916,0.001127607,0,0,0,0,0,1.391997,6.327258,0.04370916,0,6.536294,-1.391997,1056.261
8.400001,-1.40013,-0.04365291,0.001126156,0,0,0,0,0,1.40013,6.364227,0.04365291,0,6.575768,-1.40013,1054.485
8.450001,-1.40853,-0.04398879,0.001134821,0,0,0,0,0,1.40853,6.402409,0.04398879,0,6.616554,-1.40853,1062.165
8.5,-1.417063,-0.04441704,0.001145869,0,0,0,0,0,1.417063,6.441196,0.04441704,0,6.658003,-1.417063,1072.062
8.55,-1.425197,-0.04431736,0.001143298,0,0,0,0,0,1.425197,6.478166,0.04431736,0,6.697526,-1.425197,1069.233
8.6,-1.433463,-0.04453401,0.001148887,0,0,0,0,0,1.433463,6.515742,0.04453401,0,6.737712,-1.433463,1074.028
8.650001,-1.44213,-0.0447067,0.001153342,0,0,0,0,0,1.44213,6.555136,0.0447067,0,6.779861,-1.44213,1077.739
8.700001,-1.45013,-0.04516874,0.001165262,0,0,0,0,0,1.45013,6.591499,0.04516874,0,6.818783,-1.45013,1088.453
8.75,-1.458396,-0.0448909,0.001158094,0,0,0,0,0,1.458396,6.629075,0.0448909,0,6.859018,-1.458396,1081.323
8.8,-1.466796,-0.04535216,0.001169993,0,0,0,0,0,1.466796,6.667256,0.04535216,0,6.899919,-1.466796,1091.987
8.85,-1.475196,-0.04534126,0.001169712,0,0,0,0,0,1.475196,6.705439,0.04534126,0,6.940837,-1.475196,1091.278
8.900001,-1.48333,-0.04590293,0.001184202,0,0,0,0,0,1.48333,6.742408,0.04590293,0,6.980471,-1.48333,1104.358
8.950001,-1.49173,-0.0455628,0.001175427,0,0,0,0,0,1.49173,6.78059,0.0455628,0,7.021422,-1.49173,1095.727
9,-1.499996,-0.04616033,0.001190842,0,0,0,0,0,1.499996,6.818165,0.04616033,0,7.061739,-1.499996,1109.649
9.05,-1.508263,-0.0459682,0.001185886,0,0,0,0,0,1.508263,6.855741,0.0459682,0,7.102072,-1.508263,1104.585
9.1,-1.516663,-0.04682658,0.00120803,0,0,0,0,0,1.516663,6.893923,0.04682658,0,7.143073,-1.516663,1124.75
9.150001,-1.525063,-0.04612925,0.001190041,0,0,0,0,0,1.525063,6.932104,0.04612925,0,7.18409,-1.525063,1107.546
9.200001,-1.533596,-0.04709746,0.001215019,0,0,0,0,0,1.533596,6.970892,0.04709746,0,7.225776,-1.533596,1130.321
9.25,-1.541996,-0.04669215,0.001204562,0,0,0,0,0,1.541996,7.009074,0.04669215,0,7.266827,-1.541996,1120.134
9.3,-1.550263,-0.04751419,0.00122577,0,0,0,0,0,1.550263,7.046649,0.04751419,0,7.307243,-1.550263,1139.394
9.35,-1.55853,-0.04688752,0.001209602,0,0,0,0,0,1.55853,7.084225,0.04688752,0,7.347675,-1.55853,1123.911
9.400001,-1.567063,-0.04781878,0.001233627,0,0,0,0,0,1.567063,7.123013,0.04781878,0,7.389429,-1.567063,1145.756
9.450001,-1.575196,-0.04742209,0.001223393,0,0,0,0,0,1.575196,7.159983,0.04742209,0,7.429242,-1.575196,1135.799
9.5,-1.583463,-0.04826874,0.001245235,0,0,0,0,0,1.583463,7.197558,0.04826874,0,7.469723,-1.583463,1155.609
9.55,-1.591996,-0.0475433,0.00122652,0,0,0,0,0,1.591996,7.236346,0.0475433,0,7.511529,-1.591996,1137.765
9.6,-1.600263,-0.04862275,0.001254368,0,0,0,0,0,1.600263,7.273921,0.04862275,0,7.552043,-1.600263,1163.126
9.650001,-1.608396,-0.04801918,0.001238797,0,0,0,0,0,1.608396,7.310891,0.04801918,0,7.591921,-1.608396,1148.23
