Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00013,-0.00015
0.05000,-0.00093,-0.00021
0.10000,-0.00467,-0.00027
0.15000,-0.01293,-0.00120
0.20000,-0.02387,-0.00012
0.25000,-0.03453,0.00002
0.30000,-0.04440,0.00000
0.35000,-0.05427,0.00000
0.40000,-0.06360,-0.00022
0.45000,-0.07267,-0.00137
0.50000,-0.08173,0.00046
0.55000,-0.09053,-0.00033
0.60000,-0.09920,-0.00062
0.65000,-0.10787,-0.00046
0.70000,-0.11640,-0.00014
0.75000,-0.12493,-0.00168
0.80000,-0.13333,0.00055
0.85000,-0.14173,-0.00247
0.90000,-0.15027,0.00069
0.95000,-0.15853,-0.00201
1.00000,-0.16653,-0.00066
1.05000,-0.17507,-0.00163
1.10000,-0.18347,-0.00090
1.15000,-0.19147,-0.00173
1.20000,-0.19973,-0.00118
1.25000,-0.20853,-0.00086
1.30000,-0.21680,-0.00241
1.35000,-0.22507,-0.00100
1.40000,-0.23373,-0.00146
1.45000,-0.24213,-0.00175
1.50000,-0.25040,-0.00203
1.55000,-0.25880,-0.00096
1.60000,-0.26720,-0.00250
1.65000,-0.27533,-0.00214
1.70000,-0.28373,-0.00192
1.75000,-0.29187,-0.00182
1.80000,-0.30040,-0.00315
1.85000,-0.30867,-0.00149
1.90000,-0.31680,-0.00302
1.95000,-0.32533,-0.00187
2.00000,-0.33360,-0.00373
2.05000,-0.34173,-0.00136
2.10000,-0.35013,-0.00408
2.15000,-0.35880,-0.00220
2.20000,-0.36693,-0.00385
2.25000,-0.37520,-0.00171
2.30000,-0.38373,-0.00398
2.35000,-0.39187,-0.00249
2.40000,-0.40013,-0.00439
2.45000,-0.40853,-0.00258
2.50000,-0.41693,-0.00446
2.55000,-0.42520,-0.00276
2.60000,-0.43360,-0.00497
2.65000,-0.44187,-0.00238
2.70000,-0.45013,-0.00529
2.75000,-0.45853,-0.00322
2.80000,-0.46667,-0.00478
2.85000,-0.47520,-0.00305
2.90000,-0.48360,-0.00536
2.95000,-0.49173,-0.00434
3.00000,-0.50027,-0.00537
3.05000,-0.50867,-0.00484
3.10000,-0.51680,-0.00617
3.15000,-0.52520,-0.00528
3.20000,-0.53387,-0.00604
3.25000,-0.54187,-0.00579
3.30000,-0.55000,-0.00748
3.35000,-0.55840,-0.00607
