Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00027,0.00008
0.05000,-0.00173,0.00000
0.10000,-0.00693,0.00001
0.15000,-0.01627,0.00001
0.20000,-0.02680,0.00001
0.25000,-0.03667,0.00004
0.30000,-0.04627,0.00002
0.35000,-0.05573,0.00003
0.40000,-0.06467,0.00002
0.45000,-0.07347,0.00002
0.50000,-0.08240,0.00003
0.55000,-0.09093,0.00003
0.60000,-0.09933,0.00001
0.65000,-0.10800,0.00004
0.70000,-0.11653,0.00002
0.75000,-0.12480,0.00002
0.80000,-0.13320,0.00002
0.85000,-0.14187,0.00003
0.90000,-0.15013,0.00004
0.95000,-0.15840,0.00004
1.00000,-0.16680,0.00003
1.05000,-0.17547,0.00001
1.10000,-0.18360,0.00002
1.15000,-0.19187,0.00002
1.20000,-0.20040,0.00003
1.25000,-0.20867,0.00002
1.30000,-0.21680,0.00004
1.35000,-0.22520,0.00006
1.40000,-0.23373,0.00005
1.45000,-0.24187,0.00003
1.50000,-0.25027,0.00005
1.55000,-0.25867,0.00002
1.60000,-0.26707,0.00004
1.65000,-0.27520,0.00006
1.70000,-0.28360,0.00005
1.75000,-0.29227,0.00002
1.80000,-0.30040,0.00004
1.85000,-0.30853,0.00004
1.90000,-0.31707,0.00004
1.95000,-0.32533,0.00004
2.00000,-0.33360,0.00005
2.05000,-0.34200,0.00002
2.10000,-0.35040,0.00003
2.15000,-0.35867,0.00002
2.20000,-0.36680,0.00004
2.25000,-0.37507,0.00004
2.30000,-0.38360,0.00005
2.35000,-0.39200,0.00005
2.40000,-0.40013,0.00004
2.45000,-0.40867,0.00006
2.50000,-0.41707,0.00005
2.55000,-0.42507,0.00004
2.60000,-0.43360,0.00003
2.65000,-0.44213,0.00007
2.70000,-0.45027,0.00005
2.75000,-0.45853,0.00005
2.80000,-0.46693,0.00005
2.85000,-0.47507,0.00005
2.90000,-0.48333,0.00005
2.95000,-0.49173,0.00005
3.00000,-0.50000,0.00004
3.05000,-0.50840,0.00004
3.10000,-0.51680,0.00004
3.15000,-0.52507,0.00002
3.20000,-0.53360,0.00006
3.25000,-0.54187,0.00005
3.30000,-0.55000,0.00005
3.35000,-0.55853,0.00005
3.40000,-0.56707,0.00007
3.45000,-0.57520,0.00006
3.50000,-0.58360,0.00006
3.55000,-0.59213,0.00005
3.60000,-0.60013,0.00004
3.65000,-0.60840,0.00003
3.70000,-0.61693,0.00004
3.75000,-0.62520,0.00005
3.80000,-0.63333,0.00005
3.85000,-0.64173,0.00006
3.90000,-0.65027,0.00006
3.95000,-0.65853,0.00005
4.00000,-0.66693,0.00007
4.05000,-0.67533,0.00003
4.10000,-0.68360,0.00005
4.15000,-0.69186,0.00004
4.20000,-0.70026,0.00008
4.25000,-0.70880,0.00005
4.30000,-0.71706,0.00005
4.35000,-0.72520,0.00006
4.40000,-0.73373,0.00007
4.45000,-0.74200,0.00005
4.50000,-0.75026,0.00006
4.55000,-0.75853,0.00004
4.60000,-0.76693,0.00006
4.65000,-0.77520,0.00008
4.70000,-0.78346,0.00004
4.75000,-0.79200,0.00007
4.80000,-0.80040,0.00006
4.85000,-0.80853,0.00008
4.90000,-0.81693,0.00007
4.95000,-0.82546,0.00005
5.00000,-0.83360,0.00006
5.05000,-0.84200,0.00005
5.10000,-0.85040,0.00006
5.15000,-0.85880,0.00006
5.20000,-0.86693,0.00007
5.25000,-0.87533,0.00006
5.30000,-0.88373,0.00007
5.35000,-0.89200,0.00006
5.40000,-0.90013,0.00008
5.45000,-0.90853,0.00007
5.50000,-0.91706,0.00005
5.55000,-0.92533,0.00005
5.60000,-0.93360,0.00006
5.65000,-0.94200,0.00008
5.70000,-0.95053,0.00007
5.75000,-0.95853,0.00008
5.80000,-0.96693,0.00007
5.85000,-0.97546,0.00007
5.90000,-0.98346,0.00006
5.95000,-0.99186,0.00008
6.00000,-1.00040,0.00008
6.05000,-1.00853,0.00004
6.10000,-1.01680,0.00006
6.15000,-1.02520,0.00005
6.20000,-1.03333,0.00006
6.25000,-1.04160,0.00005
6.30000,-1.05000,0.00007
6.35000,-1.05840,0.00005
6.40000,-1.06693,0.00008
6.45000,-1.07520,0.00008
6.50000,-1.08333,0.00009
6.55000,-1.09200,0.00004
6.60000,-1.10040,0.00006
6.65000,-1.10853,0.00006
6.70000,-1.11693,0.00009
6.75000,-1.12533,0.00007
6.80000,-1.13333,0.00007
6.85000,-1.14173,0.00006
6.90000,-1.15026,0.00007
6.95000,-1.15840,0.00007
7.00000,-1.16653,0.00007
7.05000,-1.17520,0.00005
7.10000,-1.18360,0.00008
7.15000,-1.19186,0.00007
7.20000,-1.20026,0.00008
7.25000,-1.20866,0.00007
7.30000,-1.21693,0.00009
7.35000,-1.22520,0.00009
7.40000,-1.23360,0.00009
7.45000,-1.24213,0.00007
7.50000,-1.25053,0.00006
7.55000,-1.25866,0.00006
7.60000,-1.26706,0.00009
7.65000,-1.27533,0.00007
7.70000,-1.28346,0.00008
7.75000,-1.29186,0.00008
7.80000,-1.30026,0.00009
7.85000,-1.30853,0.00009
7.90000,-1.31680,0.00007
7.95000,-1.32546,0.00007
8.00000,-1.33373,0.00007
8.05000,-1.34200,0.00007
8.10000,-1.35040,0.00007
8.15000,-1.35880,0.00007
8.20000,-1.36680,0.00008
8.25000,-1.37520,0.00009
8.30000,-1.38373,0.00008
8.35000,-1.39213,0.00008
8.40000,-1.40026,0.00009
8.45000,-1.40853,0.00009
8.50000,-1.41693,0.00010
8.55000,-1.42520,0.00006
8.60000,-1.43346,0.00006
8.65000,-1.44173,0.00009
8.70000,-1.45026,0.00009
8.75000,-1.45853,0.00010
8.80000,-1.46680,0.00008
8.85000,-1.47520,0.00009
8.90000,-1.48373,0.00009
8.95000,-1.49186,0.00010
9.00000,-1.50013,0.00009
9.05000,-1.50866,0.00008
9.10000,-1.51680,0.00009
9.15000,-1.52506,0.00009
9.20000,-1.53373,0.00009
9.25000,-1.54186,0.00009
9.30000,-1.55013,0.00008
9.35000,-1.55853,0.00008
9.40000,-1.56680,0.00010
9.45000,-1.57506,0.00008
9.50000,-1.58346,0.00008
9.55000,-1.59173,0.00007
9.60000,-1.60026,0.00010
9.65000,-1.60853,0.00010
9.70000,-1.61666,0.00010
9.75000,-1.62533,0.00010
9.80000,-1.63373,0.00009
9.85000,-1.64173,0.00009
9.90000,-1.65026,0.00009
9.95000,-1.65880,0.00010
10.00000,-1.66680,0.00009
10.05000,-1.67506,0.00008
10.10000,-1.68373,0.00009
10.15000,-1.69186,0.00010
10.20000,-1.69986,0.00009
10.25000,-1.70840,0.00008
10.30000,-1.71693,0.00010
10.35000,-1.72520,0.00012
10.40000,-1.73360,0.00011
10.45000,-1.74200,0.00009
10.50000,-1.75026,0.00012
10.55000,-1.75866,0.00009
10.60000,-1.76706,0.00010
10.65000,-1.77546,0.00009
10.70000,-1.78373,0.00011
10.75000,-1.79186,0.00012
10.80000,-1.80040,0.00012
10.85000,-1.80866,0.00012
10.90000,-1.81680,0.00012
10.95000,-1.82520,0.00010
11.00000,-1.83373,0.00011
11.05000,-1.84173,0.00008
11.10000,-1.85013,0.00010
11.15000,-1.85866,0.00012
11.20000,-1.86693,0.00012
11.25000,-1.87520,0.00010
11.30000,-1.88360,0.00013
11.35000,-1.89213,0.00011
11.40000,-1.90040,0.00011
11.45000,-1.90866,0.00014
11.50000,-1.91706,0.00012
11.55000,-1.92533,0.00008
11.60000,-1.93346,0.00012
11.65000,-1.94173,0.00013
11.70000,-1.95026,0.00013
11.75000,-1.95853,0.00014
11.80000,-1.96680,0.00012
11.85000,-1.97520,0.00012
11.90000,-1.98360,0.00013
11.95000,-1.99200,0.00012
12.00000,-2.00026,0.00014
12.05000,-2.00880,0.00010
12.10000,-2.01706,0.00013
12.15000,-2.02520,0.00014
12.20000,-2.03373,0.00014
12.25000,-2.04226,0.00011
12.30000,-2.05026,0.00015
12.35000,-2.05853,0.00014
12.40000,-2.06706,0.00013
12.45000,-2.07520,0.00015
12.50000,-2.08346,0.00015
12.55000,-2.09186,0.00013
12.60000,-2.10013,0.00014
12.65000,-2.10826,0.00013
12.70000,-2.11679,0.00013
12.75000,-2.12519,0.00015
12.80000,-2.13346,0.00015
12.85000,-2.14186,0.00016
12.90000,-2.15013,0.00018
12.95000,-2.15866,0.00016
13.00000,-2.16706,0.00016
13.05000,-2.17519,0.00013
13.10000,-2.18359,0.00015
13.15000,-2.19213,0.00016
13.20000,-2.20013,0.00016
