Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.00009
0.05000,-0.00107,-0.00002
0.10000,-0.00547,0.00000
0.15000,-0.01480,0.00000
0.20000,-0.02547,0.00001
0.25000,-0.03587,0.00001
0.30000,-0.04547,-0.00001
0.35000,-0.05520,0.00001
0.40000,-0.06427,0.00001
0.45000,-0.07307,0.00000
0.50000,-0.08200,0.00000
0.55000,-0.09067,-0.00001
0.60000,-0.09893,0.00000
0.65000,-0.10773,0.00001
0.70000,-0.11627,0.00000
0.75000,-0.12440,0.00000
0.80000,-0.13267,0.00000
0.85000,-0.14147,0.00000
0.90000,-0.14960,-0.00001
0.95000,-0.15800,0.00001
1.00000,-0.16667,0.00001
1.05000,-0.17493,-0.00001
1.10000,-0.18333,0.00000
1.15000,-0.19173,0.00001
1.20000,-0.20000,0.00002
1.25000,-0.20840,0.00001
1.30000,-0.21667,0.00001
1.35000,-0.22480,0.00002
1.40000,-0.23333,0.00001
1.45000,-0.24173,0.00000
1.50000,-0.24973,0.00001
1.55000,-0.25827,0.00000
1.60000,-0.26653,0.00001
1.65000,-0.27467,0.00001
1.70000,-0.28320,0.00001
1.75000,-0.29173,0.00002
1.80000,-0.30000,0.00001
1.85000,-0.30827,0.00001
1.90000,-0.31693,0.00001
1.95000,-0.32507,-0.00001
2.00000,-0.33333,0.00000
2.05000,-0.34173,0.00000
2.10000,-0.35000,0.00000
2.15000,-0.35827,0.00003
2.20000,-0.36667,-0.00001
2.25000,-0.37493,0.00002
2.30000,-0.38320,0.00002
2.35000,-0.39147,0.00001
2.40000,-0.39960,0.00000
2.45000,-0.40813,0.00000
2.50000,-0.41653,0.00003
2.55000,-0.42467,0.00000
2.60000,-0.43320,0.00001
2.65000,-0.44173,0.00002
2.70000,-0.45000,0.00000
2.75000,-0.45827,0.00003
2.80000,-0.46680,0.00000
2.85000,-0.47507,0.00001
2.90000,-0.48320,0.00003
2.95000,-0.49160,0.00003
3.00000,-0.50000,0.00002
3.05000,-0.50800,-0.00001
3.10000,-0.51640,0.00001
3.15000,-0.52493,0.00002
3.20000,-0.53307,0.00000
3.25000,-0.54147,0.00000
3.30000,-0.54973,0.00000
3.35000,-0.55827,0.00000
3.40000,-0.56653,0.00002
3.45000,-0.57480,0.00002
3.50000,-0.58307,0.00000
3.55000,-0.59160,-0.00001
3.60000,-0.59987,0.00003
3.65000,-0.60813,0.00003
3.70000,-0.61667,0.00002
3.75000,-0.62493,0.00001
3.80000,-0.63307,0.00000
3.85000,-0.64147,0.00001
3.90000,-0.65000,0.00002
3.95000,-0.65800,0.00002
4.00000,-0.66640,0.00000
4.05000,-0.67493,0.00001
4.10000,-0.68320,0.00001
4.15000,-0.69146,0.00003
4.20000,-0.70000,0.00001
4.25000,-0.70826,0.00003
4.30000,-0.71653,0.00003
4.35000,-0.72506,0.00002
4.40000,-0.73333,0.00003
4.45000,-0.74173,0.00001
4.50000,-0.75013,0.00002
4.55000,-0.75826,0.00002
4.60000,-0.76666,-0.00001
4.65000,-0.77493,0.00003
4.70000,-0.78306,0.00001
4.75000,-0.79160,0.00002
4.80000,-0.79986,0.00003
4.85000,-0.80800,0.00001
4.90000,-0.81653,0.00002
4.95000,-0.82506,0.00001
5.00000,-0.83320,0.00001
5.05000,-0.84160,0.00002
5.10000,-0.85013,0.00001
5.15000,-0.85826,0.00001
5.20000,-0.86653,0.00001
5.25000,-0.87506,0.00003
5.30000,-0.88346,0.00000
5.35000,-0.89160,0.00003
5.40000,-0.89986,0.00001
5.45000,-0.90826,0.00004
5.50000,-0.91653,0.00003
5.55000,-0.92480,0.00001
5.60000,-0.93293,0.00001
5.65000,-0.94146,0.00002
5.70000,-0.94986,0.00003
5.75000,-0.95813,0.00003
5.80000,-0.96653,0.00002
5.85000,-0.97506,0.00002
5.90000,-0.98320,0.00002
5.95000,-0.99146,0.00003
6.00000,-1.00013,0.00002
6.05000,-1.00826,0.00000
6.10000,-1.01653,0.00003
6.15000,-1.02480,0.00002
6.20000,-1.03333,0.00002
6.25000,-1.04146,0.00002
6.30000,-1.04973,0.00000
6.35000,-1.05813,0.00001
6.40000,-1.06640,0.00001
6.45000,-1.07466,0.00001
6.50000,-1.08306,0.00001
6.55000,-1.09146,0.00000
6.60000,-1.09986,0.00000
6.65000,-1.10826,0.00003
6.70000,-1.11666,0.00001
6.75000,-1.12506,0.00001
6.80000,-1.13346,0.00001
6.85000,-1.14160,0.00002
6.90000,-1.15013,-0.00001
6.95000,-1.15840,0.00002
7.00000,-1.16653,0.00001
7.05000,-1.17480,0.00001
7.10000,-1.18320,0.00003
7.15000,-1.19133,0.00001
7.20000,-1.19973,0.00001
7.25000,-1.20826,0.00001
7.30000,-1.21653,0.00002
7.35000,-1.22480,0.00003
7.40000,-1.23333,0.00000
7.45000,-1.24160,0.00002
7.50000,-1.25000,0.00001
7.55000,-1.25840,0.00001
7.60000,-1.26666,0.00002
7.65000,-1.27506,0.00002
7.70000,-1.28346,0.00002
7.75000,-1.29146,0.00004
7.80000,-1.30000,0.00002
7.85000,-1.30826,0.00002
7.90000,-1.31640,0.00001
7.95000,-1.32493,0.00004
8.00000,-1.33333,0.00001
8.05000,-1.34133,0.00000
8.10000,-1.34986,0.00002
8.15000,-1.35840,0.00003
8.20000,-1.36640,0.00000
8.25000,-1.37480,0.00003
8.30000,-1.38333,0.00001
8.35000,-1.39160,0.00001
8.40000,-1.39986,0.00001
8.45000,-1.40840,0.00002
8.50000,-1.41666,0.00002
8.55000,-1.42480,0.00000
8.60000,-1.43320,0.00001
8.65000,-1.44146,0.00004
8.70000,-1.44986,0.00001
8.75000,-1.45813,0.00003
8.80000,-1.46626,0.00003
8.85000,-1.47493,0.00002
8.90000,-1.48333,0.00001
8.95000,-1.49146,0.00003
9.00000,-1.49986,0.00002
9.05000,-1.50840,-0.00001
9.10000,-1.51666,0.00000
9.15000,-1.52480,0.00001
9.20000,-1.53333,0.00002
9.25000,-1.54173,0.00001
9.30000,-1.54986,0.00003
9.35000,-1.55826,0.00003
9.40000,-1.56666,0.00001
9.45000,-1.57480,0.00004
9.50000,-1.58306,0.00001
9.55000,-1.59146,-0.00002
9.60000,-1.59973,0.00001
9.65000,-1.60800,0.00001
9.70000,-1.61640,0.00002
9.75000,-1.62493,0.00000
9.80000,-1.63333,0.00002
9.85000,-1.64160,0.00002
9.90000,-1.65000,0.00001
9.95000,-1.65840,0.00001
10.00000,-1.66666,0.00001
10.05000,-1.67493,0.00000
10.10000,-1.68346,0.00001
10.15000,-1.69173,0.00001
10.20000,-1.69973,0.00001
10.25000,-1.70813,0.00000
10.30000,-1.71653,0.00003
10.35000,-1.72466,0.00002
10.40000,-1.73293,0.00002
10.45000,-1.74160,0.00001
10.50000,-1.74973,0.00001
10.55000,-1.75800,-0.00001
10.60000,-1.76666,0.00001
10.65000,-1.77506,0.00001
10.70000,-1.78346,0.00002
10.75000,-1.79186,0.00001
10.80000,-1.80000,0.00001
10.85000,-1.80840,0.00001
10.90000,-1.81680,0.00001
10.95000,-1.82480,0.00003
11.00000,-1.83333,0.00002
11.05000,-1.84160,0.00001
11.10000,-1.84960,0.00001
11.15000,-1.85826,0.00003
11.20000,-1.86666,0.00002
11.25000,-1.87466,0.00004
11.30000,-1.88320,0.00001
11.35000,-1.89173,0.00002
11.40000,-1.89986,0.00001
11.45000,-1.90826,0.00003
11.50000,-1.91680,0.00002
11.55000,-1.92493,0.00001
11.60000,-1.93320,0.00003
11.65000,-1.94173,0.00003
11.70000,-1.95000,0.00000
11.75000,-1.95826,0.00002
11.80000,-1.96653,0.00000
11.85000,-1.97493,0.00004
11.90000,-1.98320,0.00003
11.95000,-1.99146,0.00004
12.00000,-1.99960,0.00000
12.05000,-2.00813,0.00001
12.10000,-2.01653,0.00002
12.15000,-2.02480,0.00002
12.20000,-2.03319,0.00001
12.25000,-2.04186,0.00001
12.30000,-2.04986,0.00001
12.35000,-2.05813,0.00003
12.40000,-2.06680,0.00003
12.45000,-2.07506,0.00001
12.50000,-2.08319,0.00003
12.55000,-2.09159,0.00002
12.60000,-2.09999,0.00002
12.65000,-2.10813,0.00003
12.70000,-2.11639,0.00002
12.75000,-2.12493,0.00003
12.80000,-2.13306,0.00003
12.85000,-2.14146,0.00002
12.90000,-2.14973,0.00002
12.95000,-2.15826,0.00001
13.00000,-2.16666,0.00004
13.05000,-2.17493,0.00002
13.10000,-2.18333,0.00003
13.15000,-2.19173,0.00002
13.20000,-2.19999,0.00002
13.25000,-2.20813,0.00003
13.30000,-2.21666,0.00003
13.35000,-2.22493,0.00004
13.40000,-2.23306,0.00002
13.45000,-2.24159,0.00001
13.50000,-2.24999,0.00002
13.55000,-2.25813,0.00000
13.60000,-2.26639,0.00000
13.65000,-2.27493,0.00001
13.70000,-2.28319,0.00003
13.75000,-2.29146,0.00003
13.80000,-2.30013,0.00002
13.85000,-2.30839,0.00002
13.90000,-2.31666,0.00002
13.95000,-2.32506,0.00004
14.00000,-2.33333,0.00002
14.05000,-2.34173,0.00000
14.10000,-2.34999,0.00002
14.15000,-2.35813,0.00002
14.20000,-2.36666,0.00002
14.25000,-2.37493,0.00002
14.30000,-2.38306,0.00003
14.35000,-2.39159,0.00003
14.40000,-2.39986,0.00002
14.45000,-2.40786,0.00001
14.50000,-2.41626,0.00001
14.55000,-2.42506,0.00000
14.60000,-2.43319,0.00000
14.65000,-2.44159,0.00005
14.70000,-2.45026,0.00002
14.75000,-2.45839,0.00000
14.80000,-2.46653,0.00001
14.85000,-2.47506,0.00002
14.90000,-2.48346,0.00002
14.95000,-2.49159,0.00002
15.00000,-2.49986,0.00002
15.05000,-2.50813,0.00001
15.10000,-2.51653,0.00002
15.15000,-2.52493,0.00003
15.20000,-2.53306,0.00003
15.25000,-2.54159,0.00001
15.30000,-2.54999,0.00004
15.35000,-2.55813,0.00004
15.40000,-2.56653,0.00003
15.45000,-2.57506,0.00003
15.50000,-2.58319,0.00001
15.55000,-2.59146,0.00001
15.60000,-2.60013,0.00002
15.65000,-2.60839,0.00001
15.70000,-2.61653,0.00001
15.75000,-2.62493,0.00003
15.80000,-2.63333,0.00002
15.85000,-2.64146,0.00003
15.90000,-2.64973,0.00000
15.95000,-2.65813,0.00002
16.00000,-2.66639,0.00001
16.05000,-2.67466,0.00004
16.10000,-2.68306,0.00002
16.15000,-2.69159,0.00002
16.20000,-2.69999,0.00003
16.25000,-2.70826,0.00000
16.30000,-2.71666,0.00003
16.35000,-2.72506,0.00002
16.40000,-2.73319,0.00003
16.45000,-2.74146,0.00002
16.50000,-2.75013,0.00004
16.55000,-2.75826,0.00001
16.60000,-2.76639,0.00000
16.65000,-2.77479,0.00001
16.70000,-2.78333,0.00003
16.75000,-2.79133,0.00002
16.80000,-2.79973,0.00001
16.85000,-2.80839,0.00002
16.90000,-2.81653,0.00001
16.95000,-2.82479,0.00004
17.00000,-2.83333,0.00004
17.05000,-2.84173,0.00002
17.10000,-2.84999,0.00004
17.15000,-2.85826,0.00004
17.20000,-2.86666,0.00003
17.25000,-2.87506,0.00002
17.30000,-2.88346,0.00001
17.35000,-2.89146,0.00003
17.40000,-2.89999,0.00004
17.45000,-2.90826,0.00003
17.50000,-2.91626,0.00003
17.55000,-2.92493,0.00000
17.60000,-2.93333,0.00001
17.65000,-2.94133,0.00004
17.70000,-2.94986,0.00001
17.75000,-2.95839,0.00002
17.80000,-2.96653,0.00001
17.85000,-2.97493,0.00003
17.90000,-2.98346,0.00001
17.95000,-2.99159,0.00002
18.00000,-2.99986,0.00003
18.05000,-3.00839,0.00002
18.10000,-3.01666,0.00002
18.15000,-3.02493,0.00001
18.20000,-3.03333,0.00003
18.25000,-3.04159,0.00001
18.30000,-3.05013,0.00001
18.35000,-3.05826,0.00002
18.40000,-3.06626,0.00002
18.45000,-3.07479,0.00001
18.50000,-3.08333,0.00004
18.55000,-3.09146,0.00001
18.60000,-3.09986,0.00001
18.65000,-3.10853,0.00002
18.70000,-3.11666,0.00001
18.75000,-3.12493,0.00004
18.80000,-3.13346,0.00003
18.85000,-3.14173,0.00001
18.90000,-3.14986,0.00001
18.95000,-3.15813,0.00003
19.00000,-3.16653,0.00003
19.05000,-3.17479,0.00001
19.10000,-3.18306,0.00001
19.15000,-3.19146,0.00005
19.20000,-3.19986,0.00002
19.25000,-3.20813,0.00003
19.30000,-3.21653,0.00004
19.35000,-3.22479,0.00001
19.40000,-3.23333,0.00002
19.45000,-3.24159,0.00003
19.50000,-3.24986,0.00001
19.55000,-3.25839,0.00001
19.60000,-3.26666,0.00002
19.65000,-3.27479,0.00004
19.70000,-3.28346,0.00003
19.75000,-3.29173,0.00001
19.80000,-3.29973,0.00001
19.85000,-3.30813,0.00002
19.90000,-3.31666,0.00003
19.95000,-3.32466,0.00002
20.00000,-3.33293,0.00000
20.05000,-3.34159,0.00002
20.10000,-3.34986,0.00002
20.15000,-3.35813,0.00003
20.20000,-3.36666,0.00001
20.25000,-3.37493,0.00002
20.30000,-3.38333,0.00001
20.35000,-3.39159,0.00003
20.40000,-3.39999,0.00003
20.45000,-3.40839,0.00001
20.50000,-3.41666,0.00002
20.55000,-3.42479,0.00000
