Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.20209
0.05000,-0.00107,-0.20032
0.10000,-0.00533,-0.20502
0.15000,-0.01413,-0.21356
0.20000,-0.02493,-0.22803
0.25000,-0.03547,-0.24041
0.30000,-0.04533,-0.25278
0.35000,-0.05467,-0.26277
0.40000,-0.06387,-0.27425
0.45000,-0.07307,-0.28302
0.50000,-0.08160,-0.29297
0.55000,-0.09027,-0.30076
0.60000,-0.09907,-0.31134
0.65000,-0.10733,-0.31782
0.70000,-0.11573,-0.32799
0.75000,-0.12453,-0.33537
0.80000,-0.13293,-0.34592
0.85000,-0.14133,-0.35255
0.90000,-0.15000,-0.36282
0.95000,-0.15827,-0.37069
1.00000,-0.16653,-0.37986
1.05000,-0.17493,-0.38725
1.10000,-0.18333,-0.39630
1.15000,-0.19173,-0.40470
1.20000,-0.20013,-0.41377
1.25000,-0.20827,-0.42148
1.30000,-0.21680,-0.43091
1.35000,-0.22507,-0.43984
1.40000,-0.23307,-0.44793
1.45000,-0.24160,-0.45597
1.50000,-0.25000,-0.46632
1.55000,-0.25800,-0.47395
1.60000,-0.26640,-0.48282
1.65000,-0.27507,-0.49182
1.70000,-0.28333,-0.50191
1.75000,-0.29147,-0.50937
1.80000,-0.30000,-0.51876
1.85000,-0.30827,-0.52757
1.90000,-0.31653,-0.53833
1.95000,-0.32507,-0.54458
2.00000,-0.33347,-0.55588
2.05000,-0.34173,-0.56358
2.10000,-0.34987,-0.57556
2.15000,-0.35827,-0.58086
2.20000,-0.36667,-0.59352
2.25000,-0.37493,-0.59956
2.30000,-0.38307,-0.61244
2.35000,-0.39160,-0.61777
2.40000,-0.40000,-0.63111
2.45000,-0.40827,-0.63731
2.50000,-0.41653,-0.64991
2.55000,-0.42507,-0.65549
2.60000,-0.43333,-0.66899
2.65000,-0.44160,-0.67477
2.70000,-0.45013,-0.68757
2.75000,-0.45840,-0.69438
2.80000,-0.46653,-0.70691
2.85000,-0.47480,-0.71340
2.90000,-0.48320,-0.72596
2.95000,-0.49147,-0.73204
3.00000,-0.49987,-0.74489
3.05000,-0.50827,-0.75252
3.10000,-0.51640,-0.76372
3.15000,-0.52467,-0.77205
3.20000,-0.53307,-0.78340
3.25000,-0.54160,-0.79247
3.30000,-0.55000,-0.80268
3.35000,-0.55827,-0.81271
3.40000,-0.56653,-0.82296
3.45000,-0.57507,-0.83264
3.50000,-0.58333,-0.84305
3.55000,-0.59147,-0.85224
3.60000,-0.60000,-0.86266
3.65000,-0.60827,-0.87239
3.70000,-0.61640,-0.88238
3.75000,-0.62480,-0.89213
3.80000,-0.63320,-0.90287
3.85000,-0.64120,-0.91193
3.90000,-0.64960,-0.92263
3.95000,-0.65813,-0.93277
4.00000,-0.66653,-0.94303
4.05000,-0.67480,-0.95329
4.10000,-0.68346,-0.96361
4.15000,-0.69173,-0.97422
4.20000,-0.69986,-0.98393
4.25000,-0.70826,-0.99453
4.30000,-0.71666,-1.00529
4.35000,-0.72506,-1.01494
4.40000,-0.73333,-1.02581
4.45000,-0.74160,-1.03563
4.50000,-0.75013,-1.04629
4.55000,-0.75840,-1.05658
4.60000,-0.76653,-1.06734
4.65000,-0.77493,-1.07735
4.70000,-0.78320,-1.08694
4.75000,-0.79133,-1.09726
4.80000,-0.79986,-1.10824
4.85000,-0.80840,-1.11883
4.90000,-0.81653,-1.12835
4.95000,-0.82480,-1.13882
5.00000,-0.83346,-1.14855
5.05000,-0.84160,-1.16050
5.10000,-0.84986,-1.16905
5.15000,-0.85826,-1.18004
5.20000,-0.86666,-1.18994
5.25000,-0.87493,-1.19984
5.30000,-0.88333,-1.20998
5.35000,-0.89160,-1.22102
5.40000,-0.90000,-1.22972
5.45000,-0.90826,-1.24091
5.50000,-0.91626,-1.24963
5.55000,-0.92480,-1.26059
5.60000,-0.93320,-1.26974
5.65000,-0.94146,-1.28096
5.70000,-0.94986,-1.29009
5.75000,-0.95840,-1.30166
5.80000,-0.96666,-1.31056
5.85000,-0.97480,-1.32129
5.90000,-0.98333,-1.33055
5.95000,-0.99173,-1.34281
6.00000,-0.99986,-1.35009
6.05000,-1.00826,-1.36133
6.10000,-1.01666,-1.37199
6.15000,-1.02480,-1.38129
6.20000,-1.03306,-1.39037
6.25000,-1.04160,-1.40301
6.30000,-1.04973,-1.41040
6.35000,-1.05800,-1.42286
6.40000,-1.06640,-1.43134
6.45000,-1.07493,-1.44366
6.50000,-1.08333,-1.45166
6.55000,-1.09160,-1.46406
6.60000,-1.09986,-1.47225
6.65000,-1.10853,-1.48413
6.70000,-1.11666,-1.49267
6.75000,-1.12480,-1.50342
6.80000,-1.13346,-1.51324
6.85000,-1.14173,-1.52377
6.90000,-1.14973,-1.53318
6.95000,-1.15826,-1.54317
7.00000,-1.16666,-1.55414
7.05000,-1.17466,-1.56376
7.10000,-1.18293,-1.57316
7.15000,-1.19160,-1.58302
7.20000,-1.19986,-1.59425
7.25000,-1.20813,-1.60340
7.30000,-1.21666,-1.61460
