Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00027,-0.34311
0.05000,-0.00187,-0.34349
0.10000,-0.00707,-0.34877
0.15000,-0.01653,-0.36221
0.20000,-0.02680,-0.37861
0.25000,-0.03667,-0.39490
0.30000,-0.04653,-0.40854
0.35000,-0.05573,-0.42249
0.40000,-0.06467,-0.43483
0.45000,-0.07387,-0.44738
0.50000,-0.08253,-0.45937
0.55000,-0.09093,-0.47089
0.60000,-0.09973,-0.48254
0.65000,-0.10827,-0.49340
0.70000,-0.11653,-0.50511
0.75000,-0.12507,-0.51569
0.80000,-0.13347,-0.52583
0.85000,-0.14187,-0.53858
0.90000,-0.15013,-0.54710
0.95000,-0.15853,-0.55962
1.00000,-0.16693,-0.56906
1.05000,-0.17507,-0.57928
1.10000,-0.18333,-0.59091
1.15000,-0.19187,-0.59962
1.20000,-0.20027,-0.61205
1.25000,-0.20853,-0.62160
1.30000,-0.21680,-0.63244
1.35000,-0.22547,-0.64335
1.40000,-0.23373,-0.65424
1.45000,-0.24187,-0.66351
1.50000,-0.25040,-0.67471
1.55000,-0.25893,-0.68515
1.60000,-0.26693,-0.69500
1.65000,-0.27520,-0.70571
1.70000,-0.28373,-0.71594
1.75000,-0.29187,-0.72610
1.80000,-0.30013,-0.73709
1.85000,-0.30853,-0.74633
1.90000,-0.31680,-0.75761
1.95000,-0.32507,-0.76753
2.00000,-0.33347,-0.77767
2.05000,-0.34200,-0.78806
2.10000,-0.35027,-0.79905
2.15000,-0.35867,-0.80897
2.20000,-0.36693,-0.82074
2.25000,-0.37547,-0.82908
2.30000,-0.38373,-0.84194
2.35000,-0.39200,-0.85058
2.40000,-0.40053,-0.86164
2.45000,-0.40880,-0.87169
2.50000,-0.41680,-0.88253
2.55000,-0.42520,-0.89143
2.60000,-0.43373,-0.90340
2.65000,-0.44173,-0.91316
2.70000,-0.45000,-0.92345
2.75000,-0.45867,-0.93388
2.80000,-0.46693,-0.94467
2.85000,-0.47520,-0.95469
2.90000,-0.48373,-0.96544
2.95000,-0.49200,-0.97583
3.00000,-0.50040,-0.98593
3.05000,-0.50867,-0.99672
3.10000,-0.51693,-1.00755
3.15000,-0.52547,-1.01777
3.20000,-0.53373,-1.02798
3.25000,-0.54187,-1.03868
3.30000,-0.55040,-1.04898
3.35000,-0.55867,-1.05926
3.40000,-0.56680,-1.06972
3.45000,-0.57520,-1.08061
3.50000,-0.58360,-1.09015
3.55000,-0.59173,-1.10155
3.60000,-0.60013,-1.11191
3.65000,-0.60880,-1.12248
3.70000,-0.61707,-1.13354
3.75000,-0.62533,-1.14341
3.80000,-0.63373,-1.15461
3.85000,-0.64213,-1.16448
3.90000,-0.65027,-1.17476
3.95000,-0.65880,-1.18610
4.00000,-0.66707,-1.19587
4.05000,-0.67533,-1.20638
4.10000,-0.68360,-1.21717
4.15000,-0.69186,-1.22741
4.20000,-0.70026,-1.23777
4.25000,-0.70853,-1.24826
4.30000,-0.71666,-1.25858
4.35000,-0.72533,-1.26881
4.40000,-0.73373,-1.28020
4.45000,-0.74200,-1.29038
4.50000,-0.75026,-1.30087
4.55000,-0.75880,-1.31069
4.60000,-0.76706,-1.32186
4.65000,-0.77533,-1.33240
4.70000,-0.78386,-1.34216
4.75000,-0.79213,-1.35320
4.80000,-0.80013,-1.36326
4.85000,-0.80853,-1.37318
4.90000,-0.81706,-1.38404
4.95000,-0.82520,-1.39387
5.00000,-0.83346,-1.40539
5.05000,-0.84186,-1.41352
5.10000,-0.85013,-1.42637
5.15000,-0.85840,-1.43523
5.20000,-0.86680,-1.44591
5.25000,-0.87520,-1.45556
5.30000,-0.88373,-1.46869
5.35000,-0.89200,-1.47711
5.40000,-0.90040,-1.48786
5.45000,-0.90893,-1.49861
5.50000,-0.91720,-1.51017
5.55000,-0.92520,-1.51896
5.60000,-0.93373,-1.52992
5.65000,-0.94213,-1.54108
5.70000,-0.95013,-1.55038
5.75000,-0.95853,-1.56113
5.80000,-0.96693,-1.57173
5.85000,-0.97506,-1.58212
5.90000,-0.98333,-1.59214
5.95000,-0.99186,-1.60217
6.00000,-1.00013,-1.61490
6.05000,-1.00853,-1.62314
6.10000,-1.01706,-1.63592
6.15000,-1.02533,-1.64512
6.20000,-1.03373,-1.65723
6.25000,-1.04213,-1.66644
6.30000,-1.05040,-1.67791
6.35000,-1.05866,-1.68687
6.40000,-1.06693,-1.69882
6.45000,-1.07506,-1.70820
6.50000,-1.08360,-1.71969
6.55000,-1.09186,-1.72935
6.60000,-1.10000,-1.74138
6.65000,-1.10853,-1.75050
6.70000,-1.11693,-1.76184
6.75000,-1.12506,-1.77249
6.80000,-1.13346,-1.78296
6.85000,-1.14213,-1.79302
6.90000,-1.15040,-1.80493
6.95000,-1.15880,-1.81390
7.00000,-1.16733,-1.82679
7.05000,-1.17546,-1.83534
7.10000,-1.18373,-1.84693
7.15000,-1.19213,-1.85644
7.20000,-1.20040,-1.86839
7.25000,-1.20866,-1.87586
7.30000,-1.21706,-1.88998
7.35000,-1.22533,-1.89793
7.40000,-1.23373,-1.90993
7.45000,-1.24200,-1.91889
7.50000,-1.25013,-1.93030
7.55000,-1.25853,-1.94022
7.60000,-1.26706,-1.95121
7.65000,-1.27520,-1.96254
7.70000,-1.28360,-1.97181
