Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.00050
0.05000,-0.00107,-0.00029
0.10000,-0.00533,-0.00291
0.15000,-0.01440,-0.00443
0.20000,-0.02520,-0.00809
0.25000,-0.03560,-0.01274
0.30000,-0.04547,-0.01753
0.35000,-0.05480,-0.02073
0.40000,-0.06413,-0.02440
0.45000,-0.07320,-0.02852
0.50000,-0.08160,-0.03113
0.55000,-0.09053,-0.03398
0.60000,-0.09920,-0.03950
0.65000,-0.10747,-0.04109
0.70000,-0.11613,-0.04492
0.75000,-0.12493,-0.04827
0.80000,-0.13307,-0.05139
0.85000,-0.14147,-0.05464
0.90000,-0.15013,-0.05677
0.95000,-0.15827,-0.05960
1.00000,-0.16667,-0.06337
1.05000,-0.17507,-0.06764
1.10000,-0.18347,-0.06830
1.15000,-0.19160,-0.07429
1.20000,-0.20000,-0.07648
1.25000,-0.20827,-0.08013
1.30000,-0.21667,-0.08473
1.35000,-0.22493,-0.08904
1.40000,-0.23307,-0.09130
1.45000,-0.24173,-0.09686
1.50000,-0.25000,-0.09982
1.55000,-0.25813,-0.10456
1.60000,-0.26667,-0.10781
1.65000,-0.27520,-0.11374
1.70000,-0.28320,-0.11360
1.75000,-0.29160,-0.12090
1.80000,-0.30013,-0.12188
1.85000,-0.30840,-0.12652
1.90000,-0.31653,-0.13079
1.95000,-0.32507,-0.13573
2.00000,-0.33333,-0.14067
2.05000,-0.34147,-0.14454
2.10000,-0.34973,-0.14938
2.15000,-0.35813,-0.15641
2.20000,-0.36653,-0.15953
2.25000,-0.37480,-0.16662
2.30000,-0.38320,-0.17189
2.35000,-0.39160,-0.17781
2.40000,-0.40000,-0.18061
2.45000,-0.40813,-0.19015
2.50000,-0.41667,-0.19214
2.55000,-0.42520,-0.19989
2.60000,-0.43333,-0.20560
2.65000,-0.44147,-0.21153
2.70000,-0.45013,-0.21672
2.75000,-0.45827,-0.22335
2.80000,-0.46627,-0.22903
2.85000,-0.47480,-0.23400
2.90000,-0.48333,-0.24059
2.95000,-0.49133,-0.24742
3.00000,-0.49973,-0.25235
3.05000,-0.50827,-0.25800
3.10000,-0.51667,-0.26776
3.15000,-0.52493,-0.27324
3.20000,-0.53347,-0.27880
3.25000,-0.54173,-0.28720
3.30000,-0.55000,-0.29334
3.35000,-0.55840,-0.30138
