Time sec,Extension mm,Load kgf,Compressive stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Compressive extension mm,Compressive strain %,Compressive load kgf,Displacement (Strain 1) mm,True strain %,Corrected Position mm,True stress Pa
0,0,-0.1325191,0.003681607,0,0,0,0,0,0,0,0.1325191,0,0,0,3681.607
0.05,-0.001599996,-0.1325493,0.003682448,0,0,0,0,0,0.001599996,0.006546629,0.1325493,0,0.006546843,-0.001599996,3682.207
0.1,-0.006399984,-0.1331514,0.003699173,0,0,0,0,0,0.006399984,0.02618651,0.1331514,0,0.02618994,-0.006399984,3698.205
0.15,-0.01519996,-0.1347638,0.00374397,0,0,0,0,0,0.01519996,0.06219297,0.1347638,0,0.06221232,-0.01519996,3741.641
0.2,-0.0254666,-0.1371917,0.003811422,0,0,0,0,0,0.0254666,0.1042005,0.1371917,0,0.1042548,-0.0254666,3807.45
0.25,-0.03573325,-0.1393927,0.003872569,0,0,0,0,0,0.03573325,0.146208,0.1393927,0,0.146315,-0.03573325,3866.907
0.3,-0.04559989,-0.1415192,0.003931647,0,0,0,0,0,0.04559989,0.1865789,0.1415192,0,0.1867532,-0.04559989,3924.311
0.35,-0.05506653,-0.143345,0.003982371,0,0,0,0,0,0.05506653,0.2253131,0.143345,0,0.2255674,-0.05506653,3973.398
0.4,-0.06453317,-0.1451142,0.004031521,0,0,0,0,0,0.06453317,0.2640474,0.1451142,0,0.2643966,-0.06453317,4020.876
0.45,-0.07346649,-0.1469003,0.004081143,0,0,0,0,0,0.07346649,0.3005994,0.1469003,0,0.3010521,-0.07346649,4068.875
0.5,-0.08226647,-0.1483631,0.004121781,0,0,0,0,0,0.08226646,0.3366058,0.1483631,0,0.3371736,-0.08226647,4107.907
0.55,-0.09079978,-0.1500034,0.004167352,0,0,0,0,0,0.09079978,0.3715212,0.1500034,0,0.3722131,-0.09079978,4151.87
0.6,-0.09946642,-0.1513752,0.004205463,0,0,0,0,0,0.09946642,0.4069821,0.1513752,0,0.4078125,-0.09946642,4188.347
0.6500001,-0.1079997,-0.1527061,0.004242437,0,0,0,0,0,0.1079997,0.4418975,0.1527061,0,0.4428767,-0.1079997,4223.69
