Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.00060
0.05000,-0.00120,0.00027
0.10000,-0.00573,-0.00001
0.15000,-0.01467,0.00118
0.20000,-0.02560,0.00005
0.25000,-0.03560,0.00112
0.30000,-0.04520,0.00178
0.35000,-0.05480,-0.00032
0.40000,-0.06400,-0.00035
0.45000,-0.07280,0.00005
0.50000,-0.08173,0.00136
0.55000,-0.09040,0.00088
0.60000,-0.09893,0.00101
0.65000,-0.10747,0.00151
0.70000,-0.11613,-0.00236
0.75000,-0.12467,-0.00027
0.80000,-0.13293,0.00063
0.85000,-0.14147,0.00216
0.90000,-0.15000,-0.00019
0.95000,-0.15813,0.00015
1.00000,-0.16640,-0.00116
1.05000,-0.17493,-0.00124
1.10000,-0.18320,0.00304
1.15000,-0.19147,0.00078
1.20000,-0.19973,-0.00001
1.25000,-0.20827,0.00018
1.30000,-0.21640,-0.00156
1.35000,-0.22467,0.00067
1.40000,-0.23320,0.00131
1.45000,-0.24160,0.00024
1.50000,-0.24973,-0.00040
1.55000,-0.25827,-0.00001
1.60000,-0.26680,0.00001
1.65000,-0.27493,0.00044
1.70000,-0.28333,0.00017
1.75000,-0.29173,0.00091
1.80000,-0.30013,0.00006
1.85000,-0.30840,0.00045
1.90000,-0.31653,-0.00006
1.95000,-0.32507,-0.00017
2.00000,-0.33333,0.00123
2.05000,-0.34147,0.00013
2.10000,-0.34987,0.00004
2.15000,-0.35827,0.00055
2.20000,-0.36640,-0.00171
2.25000,-0.37467,0.00020
2.30000,-0.38320,0.00084
2.35000,-0.39160,-0.00078
2.40000,-0.39973,-0.00053
2.45000,-0.40827,-0.00033
2.50000,-0.41680,-0.00031
2.55000,-0.42507,0.00032
2.60000,-0.43333,-0.00019
2.65000,-0.44187,0.00007
2.70000,-0.45000,0.00036
2.75000,-0.45813,-0.00067
2.80000,-0.46640,-0.00112
2.85000,-0.47480,0.00022
2.90000,-0.48320,-0.00057
2.95000,-0.49133,0.00007
3.00000,-0.49987,-0.00058
3.05000,-0.50827,-0.00066
3.10000,-0.51653,-0.00067
3.15000,-0.52493,-0.00032
3.20000,-0.53333,-0.00025
3.25000,-0.54173,-0.00055
3.30000,-0.54987,-0.00117
3.35000,-0.55827,-0.00048
3.40000,-0.56680,-0.00056
3.45000,-0.57480,0.00003
3.50000,-0.58320,-0.00037
3.55000,-0.59173,-0.00068
3.60000,-0.59973,-0.00066
3.65000,-0.60813,-0.00102
3.70000,-0.61640,-0.00159
3.75000,-0.62467,0.00201
3.80000,-0.63293,-0.00246
3.85000,-0.64147,-0.00019
3.90000,-0.65000,0.00121
3.95000,-0.65827,-0.00504
4.00000,-0.66667,0.00265
4.05000,-0.67493,-0.00082
4.10000,-0.68333,-0.00215
4.15000,-0.69160,0.00213
4.20000,-0.70000,-0.00317
4.25000,-0.70840,0.00049
4.30000,-0.71680,0.00101
4.35000,-0.72493,-0.00205
4.40000,-0.73320,-0.00087
4.45000,-0.74160,-0.00007
4.50000,-0.74986,-0.00217
4.55000,-0.75800,0.00034
4.60000,-0.76653,-0.00015
4.65000,-0.77493,-0.00230
4.70000,-0.78320,-0.00030
4.75000,-0.79160,0.00009
4.80000,-0.80000,-0.00293
4.85000,-0.80840,0.00030
4.90000,-0.81680,-0.00057
4.95000,-0.82506,-0.00155
5.00000,-0.83346,0.00087
5.05000,-0.84186,-0.00181
5.10000,-0.84986,-0.00163
5.15000,-0.85840,0.00025
5.20000,-0.86653,-0.00188
5.25000,-0.87480,-0.00059
5.30000,-0.88320,-0.00109
5.35000,-0.89160,-0.00100
5.40000,-0.89973,-0.00187
5.45000,-0.90813,-0.00052
5.50000,-0.91666,-0.00192
5.55000,-0.92493,-0.00071
5.60000,-0.93320,-0.00137
5.65000,-0.94173,-0.00115
5.70000,-0.95013,-0.00108
5.75000,-0.95826,-0.00029
5.80000,-0.96666,-0.00218
5.85000,-0.97506,-0.00067
5.90000,-0.98333,-0.00184
5.95000,-0.99160,-0.00028
6.00000,-0.99986,-0.00273
6.05000,-1.00840,-0.00046
6.10000,-1.01653,-0.00110
6.15000,-1.02480,-0.00191
6.20000,-1.03320,-0.00040
6.25000,-1.04160,-0.00245
6.30000,-1.04986,-0.00045
6.35000,-1.05813,-0.00208
6.40000,-1.06666,-0.00156
6.45000,-1.07506,-0.00112
6.50000,-1.08333,-0.00244
6.55000,-1.09186,0.00035
