Time sec,Extension mm,Load kgf,Compressive stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Compressive extension mm,Compressive strain %,Compressive load kgf,Displacement (Strain 1) mm,True strain %,Corrected Position mm,True stress Pa
0,0,-0.006573745,0.0001754408,0,0,0,0,0,0,0,0.006573745,0,0,0,175.4408
0.05,-0.001599996,-0.006990459,0.0001865621,0,0,0,0,0,0.001599996,0.006184755,0.006990459,0,0.006184946,-0.001599996,186.5506
0.1,-0.00666665,-0.007026705,0.0001875295,0,0,0,0,0,0.00666665,0.02576981,0.007026705,0,0.02577313,-0.00666665,187.4811
0.15,-0.01599996,-0.007546228,0.0002013945,0,0,0,0,0,0.01599996,0.06184755,0.007546228,0,0.06186669,-0.01599996,201.27
0.2,-0.02639994,-0.008292532,0.000221312,0,0,0,0,0,0.02639993,0.1020485,0.008292533,0,0.1021006,-0.02639994,221.0861
0.25,-0.03639991,-0.008969796,0.0002393869,0,0,0,0,0,0.03639991,0.1407032,0.008969796,0,0.1408023,-0.03639991,239.05
0.3,-0.04599989,-0.009010169,0.0002404643,0,0,0,0,0,0.04599989,0.1778117,0.009010169,0,0.17797,-0.04599989,240.0368
0.35,-0.05506653,-0.01025476,0.0002736801,0,0,0,0,0,0.05506653,0.2128586,0.01025476,0,0.2130855,-0.05506653,273.0976
0.4,-0.06426651,-0.01002528,0.0002675557,0,0,0,0,0,0.06426651,0.248421,0.01002528,0,0.2487301,-0.06426651,266.891
0.45,-0.07319982,-0.01073894,0.0002866019,0,0,0,0,0,0.07319982,0.2829525,0.01073894,0,0.2833536,-0.07319982,285.791
0.5,-0.08173313,-0.0110614,0.0002952077,0,0,0,0,0,0.08173313,0.3159379,0.0110614,0,0.316438,-0.08173313,294.2751
0.55,-0.09039978,-0.01151188,0.0003072303,0,0,0,0,0,0.09039978,0.3494386,0.01151188,0,0.3500506,-0.09039978,306.1567
0.6,-0.09919976,-0.01175382,0.0003136872,0,0,0,0,0,0.09919976,0.3834548,0.01175382,0,0.3841919,-0.09919976,312.4844
0.6500001,-0.1075997,-0.01233015,0.0003290684,0,0,0,0,0,0.1075997,0.4159248,0.01233015,0,0.4167921,-0.1075997,327.6997
0.7000001,-0.1161331,-0.01237173,0.0003301779,0,0,0,0,0,0.116133,0.4489101,0.01237173,0,0.4499207,-0.1161331,328.6957
0.7500001,-0.1247997,-0.01318497,0.0003518818,0,0,0,0,0,0.1247997,0.4824109,0.01318497,0,0.4835783,-0.1247997,350.1843
0.8,-0.1330664,-0.0130709,0.0003488376,0,0,0,0,0,0.1330664,0.5143655,0.0130709,0,0.5156929,-0.1330664,347.0433
0.85,-0.1414663,-0.01368423,0.0003652062,0,0,0,0,0,0.1414663,0.5468354,0.01368423,0,0.5483361,-0.1414663,363.2091
0.9000001,-0.1498663,-0.01381803,0.0003687771,0,0,0,0,0,0.1498663,0.5793054,0.01381803,0,0.5809899,-0.1498663,366.6408
0.9500001,-0.1582663,-0.01432847,0.0003823999,0,0,0,0,0,0.1582663,0.6117753,0.01432848,0,0.6136544,-0.1582663,380.0604
1,-0.1666663,-0.01433748,0.0003826402,0,0,0,0,0,0.1666663,0.6442453,0.01433748,0,0.6463295,-0.1666663,380.175
1.05,-0.1749329,-0.01501069,0.0004006069,0,0,0,0,0,0.1749329,0.6761999,0.01501069,0,0.6784964,-0.1749329,397.898
1.1,-0.1831995,-0.0149448,0.0003988485,0,0,0,0,0,0.1831995,0.7081544,0.0149448,0,0.7106737,-0.1831995,396.024
1.15,-0.1915995,-0.01556879,0.0004155014,0,0,0,0,0,0.1915995,0.7406244,0.01556879,0,0.7433807,-0.1915995,412.4241
1.2,-0.1998662,-0.01560008,0.0004163366,0,0,0,0,0,0.1998662,0.772579,0.01560008,0,0.7755788,-0.1998662,413.1201
1.25,-0.2081328,-0.01620823,0.0004325669,0,0,0,0,0,0.2081328,0.8045335,0.01620823,0,0.8077874,-0.2081328,429.0868
1.3,-0.2166661,-0.01605462,0.0004284673,0,0,0,0,0,0.2166661,0.8375189,0.01605462,0,0.8410458,-0.2166661,424.8788
