,Time sec,Extension mm,Load kgf,Compressive stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Compressive extension mm,Compressive strain %,Compressive load kgf,Displacement (Strain 1) mm,True strain %,Corrected Position mm,True stress Pa,Elastic Modulus
0,0.0,0.0,-0.01755855,0.0004742884,0,0,0,0,0,0.0,0.0,0.01755855,0,0.0,0.0,474.2884,inf
1,0.05,-0.001199997,-0.0177396,0.000479179,0,0,0,0,0,0.001199997,0.004993801,0.0177396,0,0.004993926,-0.001199997,479.155,10626028.1822
2,0.1,-0.005866652,-0.01764759,0.0004766935,0,0,0,0,0,0.005866652,0.02441414,0.01764759,0,0.02441712,-0.005866652,476.5771,2162232.44014
3,0.15,-0.0149333,-0.01940471,0.0005241565,0,0,0,0,0,0.0149333,0.06214508,0.01940471,0,0.0621644,-0.0149333,523.8307,934025.358954
4,0.2,-0.02573327,-0.01919135,0.0005183933,0,0,0,0,0,0.02573327,0.1070893,0.01919135,0,0.1071467,-0.02573327,517.8382,536065.49016
5,0.25,-0.03573325,-0.02153111,0.0005815945,0,0,0,0,0,0.03573325,0.1487043,0.02153111,0,0.148815,-0.03573325,580.7297,433112.983317
6,0.3,-0.04586656,-0.02141003,0.000578324,0,0,0,0,0,0.04586656,0.1908742,0.02141003,0,0.1910566,-0.04586656,577.2201,335527.721306
7,0.35,-0.05506653,-0.02295537,0.0006200663,0,0,0,0,0,0.05506653,0.22916,0.02295537,0,0.229423,-0.05506653,618.6454,299642.82822
8,0.4,-0.06413318,-0.02308442,0.0006235521,0,0,0,0,0,0.06413318,0.2668909,0.02308442,0,0.2672477,-0.06413318,621.8879,258728.036962
9,0.45,-0.07333315,-0.02440641,0.0006592617,0,0,0,0,0,0.07333315,0.3051767,0.02440641,0,0.3056433,-0.07333315,657.2498,239227.368493
10,0.5,-0.0819998,-0.02432333,0.0006570175,0,0,0,0,0,0.0819998,0.3412431,0.02432333,0,0.3418266,-0.0819998,654.7754,213214.894419
11,0.55,-0.09039978,-0.02574233,0.0006953473,0,0,0,0,0,0.09039978,0.3761997,0.02574233,0,0.3769091,-0.09039978,692.7314,204685.831055
