,Time,Extension,Load,Elastic Modulus
,(sec),(mm),(N),
,,,,
0,0.0,0.0,-0.00209,
1,0.05,-0.00093,0.00178,
2,0.1,-0.0048,-0.00413,
3,0.15,-0.0136,-0.00742,
4,0.2,-0.02467,-0.01797,
5,0.25,-0.03507,-0.02799,
6,0.3,-0.04507,-0.03584,
7,0.35,-0.05467,-0.04522,
8,0.4,-0.06387,-0.05121,
9,0.45,-0.07293,-0.05956,
10,0.5,-0.08173,-0.06558,
11,0.55,-0.09067,-0.07264,
12,0.6,-0.0992,-0.08096,
13,0.65,-0.1076,-0.0874,
14,0.7,-0.11627,-0.09533,
15,0.75,-0.12467,-0.10319,
16,0.8,-0.1328,-0.10891,
17,0.85,-0.1412,-0.119,
18,0.9,-0.14987,-0.12402,
19,0.95,-0.158,-0.1342,
20,1.0,-0.16627,-0.13947,
21,1.05,-0.1748,-0.14906,
22,1.1,-0.1832,-0.15548,
23,1.15,-0.19147,-0.16384,
24,1.2,-0.2,-0.17113,
25,1.25,-0.2084,-0.18063,
26,1.3,-0.2168,-0.18708,
27,1.35,-0.2252,-0.19651,
28,1.4,-0.23347,-0.2024,
29,1.45,-0.24173,-0.21374,
30,1.5,-0.25013,-0.21993,
31,1.55,-0.25827,-0.23037,
32,1.6,-0.2668,-0.23743,
33,1.65,-0.27493,-0.24863,
34,1.7,-0.28307,-0.2568,
35,1.75,-0.29147,-0.26658,
36,1.8,-0.29987,-0.27779,
37,1.85,-0.30813,-0.2877,
38,1.9,-0.31653,-0.29993,
39,1.95,-0.3252,-0.31093,
40,2.0,-0.33333,-0.32362,
41,2.05,-0.3416,-0.33491,
42,2.1,-0.35013,-0.34825,
43,2.15,-0.35827,-0.35992,
44,2.2,-0.3664,-0.37325,
45,2.25,-0.37493,-0.38481,
46,2.3,-0.38333,-0.39894,
47,2.35,-0.39147,-0.41206,
48,2.4,-0.39987,-0.42629,
49,2.45,-0.40813,-0.43899,
50,2.5,-0.4164,-0.45184,
51,2.55,-0.42467,-0.46392,
52,2.6,-0.43293,-0.48071,
53,2.65,-0.44147,-0.49408,
54,2.7,-0.44987,-0.50827,
55,2.75,-0.45813,-0.52191,
56,2.8,-0.46653,-0.53875,
57,2.85,-0.47507,-0.54689,
58,2.9,-0.48347,-0.57154,
59,2.95,-0.4916,-0.57908,
60,3.0,-0.50013,-0.59713,
61,3.05,-0.50853,-0.61077,
62,3.1,-0.51667,-0.62752,
63,3.15,-0.52493,-0.64093,
64,3.2,-0.53333,-0.65676,
65,3.25,-0.54133,-0.67395,
66,3.3,-0.5496,-0.68624,
67,3.35,-0.55827,-0.70773,
68,3.4,-0.56653,-0.71595,
69,3.45,-0.5748,-0.74214,
70,3.5,-0.58333,-0.74915,
71,3.55,-0.59173,-0.77225,
72,3.6,-0.60013,-0.7842,
73,3.65,-0.6084,-0.80387,
74,3.7,-0.6168,-0.81471,
75,3.75,-0.6252,-0.84027,
76,3.8,-0.63347,-0.84856,
77,3.85,-0.64147,-0.8697,
78,3.9,-0.65,-0.88112,
79,3.95,-0.65853,-0.90383,
80,4.0,-0.66653,-0.91466,
81,4.05,-0.6748,-0.93567,
82,4.1,-0.6832,-0.94944,
83,4.15,-0.69133,-0.96858,
84,4.2,-0.69973,-0.98059,
85,4.25,-0.70826,-1.00239,
86,4.3,-0.71666,-1.01744,
87,4.35,-0.72493,-1.03574,
88,4.4,-0.73346,-1.05172,
89,4.45,-0.74173,-1.06959,
90,4.5,-0.75,-1.08581,
91,4.55,-0.7584,-1.10197,
92,4.6,-0.7668,-1.12133,
93,4.65,-0.7752,-1.13568,
94,4.7,-0.78346,-1.15526,
95,4.75,-0.7916,-1.17002,
96,4.8,-0.8,-1.18569,
97,4.85,-0.8084,-1.20644,
98,4.9,-0.81653,-1.21997,
99,4.95,-0.82493,-1.23848,
100,5.0,-0.83333,-1.25468,
101,5.05,-0.84146,-1.27053,
102,5.1,-0.84986,-1.28858,
103,5.15,-0.85853,-1.30578,
104,5.2,-0.86666,-1.32336,
105,5.25,-0.87493,-1.33868,
106,5.3,-0.88346,-1.35884,
107,5.35,-0.89173,-1.37101,
108,5.4,-0.9,-1.39481,
109,5.45,-0.90853,-1.40481,
110,5.5,-0.9168,-1.42693,
111,5.55,-0.92493,-1.43969,
112,5.6,-0.93333,-1.45723,
113,5.65,-0.9416,-1.47376,
114,5.7,-0.95,-1.49174,
115,5.75,-0.95813,-1.5053,
116,5.8,-0.9664,-1.52435,
117,5.85,-0.97493,-1.53802,
118,5.9,-0.98333,-1.5574,
119,5.95,-0.9916,-1.57084,
120,6.0,-0.99986,-1.58569,
121,6.05,-1.0084,-1.598,
122,6.1,-1.01666,-1.60878,
123,6.15,-1.02493,-1.62459,
124,6.2,-1.03346,-1.64206,
125,6.25,-1.04173,-1.65386,
126,6.3,-1.04986,-1.66899,
127,6.35,-1.05813,-1.68043,
128,6.4,-1.06666,-1.69063,
129,6.45,-1.0748,-1.70194,
130,6.5,-1.08306,-1.70959,
131,6.55,-1.0916,-1.72095,
132,6.6,-1.09973,-1.72654,
133,6.65,-1.108,-1.74576,
134,6.7,-1.11653,-1.76253,
135,6.75,-1.12493,-1.78625,
136,6.8,-1.13333,-1.80088,
137,6.85,-1.1416,-1.82381,
138,6.9,-1.15,-1.83798,
139,6.95,-1.1584,-1.8583,
140,7.0,-1.1668,-1.87499,
141,7.05,-1.17493,-1.89339,
142,7.1,-1.18346,-1.90877,
143,7.15,-1.19173,-1.92652,
144,7.2,-1.19973,-1.9452,
145,7.25,-1.20813,-1.9592,
146,7.3,-1.21653,-1.97786,
