,Time sec,Extension mm,Load kgf,Compressive stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Compressive extension mm,Compressive strain %,Compressive load kgf,Displacement (Strain 1) mm,True strain %,Corrected Position mm,True stress Pa,Elastic Modulus
0,0.0,-0.000133333,-0.01051969,0.0002726243,0,0,0,0,0,-2.777726e-20,-1.084202e-19,0.01051969,0,0.0,-0.000133333,272.6243,-2.72220507204e+23
1,0.05,-0.001066664,-0.01052467,0.0002727536,0,0,0,0,0,0.000933331,0.003642978,0.01052468,0,0.003643045,-0.001066664,272.7436,8105513.06193
2,0.1,-0.004666656,-0.0107629,0.0002789273,0,0,0,0,0,0.004533323,0.01769447,0.0107629,0,0.01769603,-0.004666656,278.8779,1706553.63514
3,0.15,-0.01319997,-0.01127445,0.0002921845,0,0,0,0,0,0.01306663,0.0510017,0.01127445,0,0.05101471,-0.01319997,292.0354,620210.439491
4,0.2,-0.02426661,-0.01218453,0.0003157697,0,0,0,0,0,0.02413327,0.09419701,0.01218453,0,0.09424141,-0.02426661,315.4722,362910.814931
5,0.25,-0.03453325,-0.01309548,0.0003393776,0,0,0,0,0,0.03439992,0.1342698,0.01309548,0,0.13436,-0.03453325,338.9219,273634.775465
6,0.3,-0.04453323,-0.01390199,0.0003602788,0,0,0,0,0,0.04439989,0.1733017,0.01390199,0,0.173452,-0.04453323,359.6544,225062.105976
7,0.35,-0.05439987,-0.01459722,0.0003782961,0,0,0,0,0,0.05426653,0.2118132,0.01459722,0,0.2120378,-0.05439987,377.4948,193350.545707
8,0.4,-0.06386652,-0.0151318,0.00039215,0,0,0,0,0,0.06373318,0.2487634,0.0151318,0,0.2490733,-0.06386652,391.1745,170660.221472
9,0.45,-0.07279983,-0.01592149,0.0004126155,0,0,0,0,0,0.07266649,0.2836319,0.01592149,0,0.2840349,-0.07279983,411.4452,157491.393661
10,0.5,-0.08186647,-0.01629944,0.0004224103,0,0,0,0,0,0.08173314,0.3190208,0.01629945,0,0.3195308,-0.08186647,421.0628,143344.840909
11,0.55,-0.09093311,-0.01707312,0.0004424606,0,0,0,0,0,0.09079978,0.3544098,0.01707312,0,0.3550393,-0.09093311,440.8925,135156.020899
12,0.6,-0.09919976,-0.01752969,0.000454293,0,0,0,0,0,0.09906643,0.3866761,0.01752969,0,0.3874257,-0.09919976,452.5363,127190.602298
13,0.6500001,-0.1078664,-0.01810691,0.0004692519,0,0,0,0,0,0.1077331,0.4205038,0.01810691,0,0.4213904,-0.1078664,467.2786,120809.889457
14,0.7000001,-0.116533,-0.01856251,0.0004810592,0,0,0,0,0,0.1163997,0.4543314,0.01856251,0,0.4553667,-0.116533,478.8736,114628.376215
15,0.7500001,-0.1247997,-0.01922264,0.0004981667,0,0,0,0,0,0.1246664,0.4865978,0.01922264,0,0.4877856,-0.1247997,495.7427,110833.46602
16,0.8,-0.1330664,-0.01955349,0.0005067409,0,0,0,0,0,0.132933,0.5188642,0.01955349,0,0.520215,-0.1330664,504.1116,105730.132983
17,0.85,-0.141733,-0.02014751,0.0005221355,0,0,0,0,0,0.1415997,0.5526919,0.02014751,0,0.5542248,-0.141733,519.2496,102274.260391
18,0.9000001,-0.1499996,-0.02064296,0.0005349751,0,0,0,0,0,0.1498663,0.5849582,0.02064295,0,0.5866758,-0.1499996,531.8458,99009.0916476
19,0.9500001,-0.158133,-0.0213289,0.000552752,0,0,0,0,0,0.1579996,0.6167042,0.02132891,0,0.6186137,-0.158133,549.3431,97033.1153245
20,1.0,-0.1666663,-0.0216032,0.0005598605,0,0,0,0,0,0.1665329,0.6500114,0.0216032,0,0.6521332,-0.1666663,556.2213,93244.9546697
21,1.05,-0.1750662,-0.02230298,0.0005779958,0,0,0,0,0,0.1749329,0.6827982,0.02230298,0,0.6851399,-0.1750662,574.0492,91642.8738471
22,1.1,-0.1833329,-0.02270991,0.0005885416,0,0,0,0,0,0.1831995,0.7150646,0.02270991,0,0.7176334,-0.1833329,584.3332,89104.2522134
23,1.15,-0.1917329,-0.02331759,0.0006042901,0,0,0,0,0,0.1915995,0.7478514,0.02331759,0,0.7506619,-0.1917329,599.7709,87477.5459501
24,1.2,-0.2001328,-0.02387388,0.0006187067,0,0,0,0,0,0.1999995,0.7806382,0.02387388,0,0.7837012,-0.2001328,613.8768,85802.7875592
25,1.25,-0.2085328,-0.02439524,0.000632218,0,0,0,0,0,0.2083995,0.8134251,0.02439524,0,0.8167514,-0.2085328,627.0754,84142.5603997
26,1.3,-0.2169328,-0.02498165,0.0006474151,0,0,0,0,0,0.2167995,0.8462119,0.02498165,0,0.8498126,-0.2169328,641.9366,82826.6590972
27,1.35,-0.2250661,-0.02555755,0.00066234,0,0,0,0,0,0.2249328,0.8779578,0.02555755,0,0.8818346,-0.2250661,656.5249,81672.1014775
28,1.4,-0.2337328,-0.02610167,0.0006764412,0,0,0,0,0,0.2335994,0.9117854,0.02610167,0,0.9159676,-0.2337328,670.2735,80316.3331408
29,1.45,-0.2419994,-0.02668843,0.0006916474,0,0,0,0,0,0.2418661,0.9440519,0.02668843,0,0.9485363,-0.2419994,685.1179,79314.9993916
30,1.5,-0.2501327,-0.02727974,0.0007069716,0,0,0,0,0,0.2499994,0.9757978,0.02727974,0,0.9805899,-0.2501327,700.0729,78434.7580476
31,1.55,-0.2585327,-0.02793645,0.0007239906,0,0,0,0,0,0.2583994,1.008585,0.02793645,0,1.013705,-0.2585327,716.6885,77711.8087916
32,1.6,-0.267066,-0.02848626,0.0007382393,0,0,0,0,0,0.2669327,1.041892,0.02848626,0,1.047358,-0.267066,730.5476,76708.0522322
33,1.65,-0.2749327,-0.02907897,0.0007535997,0,0,0,0,0,0.2747993,1.072597,0.02907897,0,1.078391,-0.2749327,745.5167,76062.5179504
